vertice,eigenvector
user_0,0.1458
user_354,0.1149
user_259,0.1145
user_56,0.1137
user_191,0.1071
user_203,0.1067
user_323,0.1065
user_367,0.1056
user_19,0.1039
user_167,0.1021
user_408,0.1012
user_421,0.1004
user_341,0.0979
user_86,0.0966
user_305,0.0953
user_149,0.0949
user_396,0.0936
user_249,0.0934
user_138,0.0932
user_171,0.0931
user_155,0.0929
user_419,0.0891
user_393,0.0888
user_108,0.0888
user_42,0.0887
user_211,0.0884
user_136,0.0873
user_326,0.0867
user_100,0.0866
user_201,0.0865
user_181,0.0863
user_145,0.0861
user_359,0.086
user_414,0.0858
user_199,0.0857
user_228,0.085
user_72,0.0847
user_24,0.0841
user_226,0.0837
user_88,0.0837
user_353,0.0834
user_200,0.083
user_134,0.0821
user_130,0.0818
user_340,0.0817
user_364,0.0817
user_324,0.0812
user_234,0.0805
user_15,0.0801
user_428,0.08
user_121,0.0794
user_98,0.0789
user_322,0.0789
user_347,0.0787
user_5,0.078
user_375,0.078
user_172,0.0779
user_216,0.0777
user_425,0.0773
user_220,0.0773
user_331,0.0771
user_102,0.077
user_251,0.0769
user_384,0.0754
user_236,0.0747
user_281,0.0735
user_277,0.0733
user_144,0.0729
user_124,0.0728
user_440,0.0727
user_53,0.0723
user_406,0.0719
user_142,0.0717
user_63,0.0717
user_68,0.0715
user_17,0.0713
user_363,0.0709
user_386,0.0709
user_96,0.0708
user_309,0.0702
user_424,0.0698
user_50,0.0698
user_247,0.0697
user_139,0.0689
user_174,0.0684
user_182,0.0681
user_221,0.0678
user_113,0.0676
user_334,0.0675
user_177,0.0674
user_447,0.0673
user_71,0.0673
user_126,0.067
user_262,0.0665
user_147,0.0663
user_1,0.0663
user_346,0.066
user_256,0.066
user_202,0.066
user_3,0.0654
user_448,0.0648
user_8,0.0648
user_168,0.0645
user_194,0.0644
user_337,0.0644
user_395,0.0635
user_382,0.0633
user_209,0.0626
user_111,0.0624
user_94,0.0621
user_14,0.062
user_412,0.0619
user_74,0.0614
user_264,0.0611
user_46,0.0611
user_164,0.0603
user_436,0.0603
user_391,0.0601
user_293,0.06
user_441,0.0598
user_239,0.0594
user_54,0.0591
user_357,0.0579
user_302,0.0576
user_35,0.0575
user_400,0.0572
user_33,0.057
user_311,0.0568
user_434,0.0564
user_443,0.0563
user_258,0.0561
user_115,0.0559
user_388,0.0553
user_93,0.0547
user_69,0.0546
user_352,0.0544
user_399,0.0541
user_158,0.0539
user_397,0.0538
user_141,0.0534
user_23,0.0528
user_148,0.0526
user_150,0.0524
user_31,0.0524
user_48,0.0517
user_137,0.0508
user_89,0.0506
user_298,0.0499
user_368,0.0497
user_61,0.0497
user_104,0.049
user_410,0.0489
user_286,0.0483
user_128,0.0482
user_151,0.0481
user_243,0.048
user_377,0.0475
