User,Degree In,Degree Out
user_0,446,435
user_343,91,215
user_108,156,207
user_259,205,206
user_251,142,197
user_324,142,188
user_228,152,173
user_440,124,172
user_367,183,171
user_408,171,168
user_340,131,164
user_56,200,163
user_171,154,163
user_122,88,162
user_447,113,159
user_428,132,157
user_42,142,157
user_414,133,154
user_136,146,154
user_247,120,153
user_311,105,152
user_220,138,151
user_199,140,151
user_134,138,150
user_364,146,150
user_19,182,149
user_424,124,149
user_63,120,148
user_341,158,148
user_396,155,148
user_191,182,146
user_221,111,145
user_274,66,144
user_323,186,144
user_167,178,143
user_388,92,142
user_234,132,142
user_200,139,142
user_353,144,141
user_72,141,141
user_26,61,140
user_100,147,140
user_50,117,138
user_394,80,137
user_326,146,137
user_130,135,136
user_346,109,135
user_395,113,135
user_410,89,135
user_354,220,135
user_393,165,134
user_397,83,132
user_35,97,131
user_331,132,131
user_196,60,131
user_150,99,129
user_347,130,129
user_203,194,128
user_145,145,127
user_382,113,126
user_236,120,126
user_102,122,126
user_249,157,125
user_402,71,125
user_357,105,123
user_86,164,122
user_31,94,122
user_5,127,122
user_216,129,122
user_177,119,122
user_194,105,121
user_243,82,120
user_434,104,120
user_363,129,119
user_98,135,119
user_337,113,119
user_332,75,119
user_17,110,118
user_181,145,118
user_386,116,117
user_164,94,117
user_121,131,117
user_201,138,117
user_448,102,115
user_226,148,115
user_71,115,114
user_96,123,114
user_375,141,114
user_305,170,114
user_113,99,114
user_147,103,114
user_302,99,113
user_124,112,112
user_3,110,112
user_149,159,112
user_182,107,112
user_155,163,111
user_211,145,110
user_15,142,109
user_309,117,109
user_141,85,107
user_262,120,107
user_437,76,106
user_258,103,105
user_264,111,105
user_69,91,103
user_265,64,103
user_419,148,101
user_209,103,101
user_138,165,101
user_322,127,101
user_406,119,101
user_117,62,100
user_266,75,99
user_281,120,98
user_190,67,98
user_425,125,98
user_431,40,97
user_315,78,97
user_14,101,96
user_94,99,95
user_115,91,94
user_384,124,93
