vertice,eigenvector
user_354,0.117
user_259,0.1167
user_56,0.116
user_191,0.1093
user_203,0.1087
user_323,0.1085
user_367,0.1076
user_19,0.1059
user_167,0.104
user_408,0.1031
user_421,0.1022
user_341,0.0999
user_86,0.0984
user_305,0.0969
user_149,0.0967
user_396,0.0953
user_249,0.0951
user_138,0.0948
user_171,0.0948
user_155,0.0945
user_419,0.0907
user_42,0.0904
user_108,0.0902
user_393,0.0901
user_211,0.09
user_136,0.0888
user_326,0.0882
user_201,0.0881
user_100,0.088
user_181,0.0878
user_145,0.0875
user_359,0.0874
user_414,0.0874
user_199,0.0872
user_228,0.0863
user_72,0.0861
user_24,0.0854
user_88,0.0851
user_226,0.0849
user_353,0.0847
user_200,0.0844
user_134,0.0834
user_130,0.0832
user_340,0.083
user_364,0.0828
user_324,0.0824
user_234,0.0818
user_428,0.0812
user_15,0.0812
user_121,0.0807
user_172,0.0805
user_322,0.0802
user_98,0.0801
user_347,0.0799
user_5,0.0792
user_375,0.0791
user_216,0.0789
user_425,0.0785
user_220,0.0783
user_102,0.0783
user_331,0.0782
user_251,0.0778
user_384,0.0765
user_236,0.0758
user_281,0.0746
user_277,0.0744
user_124,0.074
user_144,0.0739
user_440,0.0736
user_53,0.0734
user_406,0.0728
user_63,0.0726
user_142,0.0726
user_68,0.0725
user_17,0.0724
user_386,0.0719
user_363,0.0717
user_96,0.0717
user_309,0.0711
user_50,0.0707
user_424,0.0706
user_247,0.0705
user_139,0.0699
user_174,0.0694
user_182,0.0691
user_221,0.0687
user_113,0.0686
user_334,0.0682
user_177,0.0681
user_71,0.0681
user_447,0.0681
user_126,0.0678
user_1,0.0672
user_147,0.0672
user_262,0.0671
user_256,0.0668
user_202,0.0668
user_346,0.0668
user_3,0.0661
user_8,0.0657
user_448,0.0656
user_194,0.0652
user_168,0.0652
user_337,0.065
user_395,0.0641
user_382,0.0639
user_209,0.0633
user_111,0.0632
user_94,0.0628
user_14,0.0627
user_412,0.0624
user_74,0.0621
user_46,0.0619
user_264,0.0616
user_436,0.061
user_164,0.061
user_293,0.0606
user_391,0.0606
user_441,0.0602
user_239,0.06
user_54,0.0598
user_357,0.0583
user_302,0.0581
user_35,0.0579
user_400,0.0576
user_33,0.0576
user_311,0.0571
user_434,0.0567
user_443,0.0567
user_258,0.0564
user_115,0.0564
user_388,0.0557
user_93,0.0551
user_69,0.055
user_352,0.0548
user_399,0.0545
user_158,0.0543
user_397,0.0543
user_141,0.0538
user_23,0.0531
user_148,0.0529
user_31,0.0526
user_150,0.0525
user_48,0.0522
user_61,0.0512
user_137,0.0511
user_89,0.0507
user_298,0.0502
user_368,0.0499
user_104,0.0491
user_410,0.049
user_286,0.0486
user_128,0.0485
user_151,0.0483
user_243,0.0481
user_377,0.0477
user_321,0.0476
user_106,0.0469
user_332,0.0467
user_268,0.0463
user_437,0.0462
user_227,0.0461
user_315,0.0456
user_394,0.045
user_343,0.0448
user_272,0.0442
user_407,0.0437
user_122,0.0432
user_244,0.0431
user_232,0.0431
user_29,0.0429
user_439,0.0422
user_404,0.0419
user_81,0.0418
user_402,0.0416
user_411,0.0415
user_80,0.0406
user_373,0.0405
user_409,0.0404
user_313,0.0402
user_116,0.0401
user_266,0.0401
user_83,0.0394
user_288,0.0387
user_275,0.0383
user_117,0.038
user_379,0.0379
user_38,0.0376
user_135,0.0372
user_248,0.0366
user_442,0.0366
user_274,0.0365
user_163,0.0361
user_73,0.036
user_190,0.0356
user_188,0.0348
user_131,0.0346
user_360,0.0345
user_225,0.0342
user_196,0.0335
user_252,0.0335
user_260,0.0334
user_330,0.0334
user_185,0.0332
user_213,0.033
user_84,0.0321
user_26,0.032
user_265,0.0319
user_13,0.0308
user_4,0.0305
user_342,0.0295
user_91,0.0292
user_40,0.029
user_21,0.0288
user_307,0.0286
user_235,0.0282
user_291,0.0281
user_39,0.028
user_294,0.0278
user_429,0.0278
user_361,0.0276
user_345,0.0275
user_450,0.0269
user_79,0.0269
user_270,0.0267
user_173,0.0264
user_25,0.0262
user_438,0.0262
user_245,0.0255
user_338,0.0251
user_306,0.0249
user_55,0.0246
user_208,0.0239
user_374,0.0238
user_392,0.0237
user_278,0.0234
user_297,0.023
user_310,0.0226
user_241,0.0225
user_105,0.0224
user_189,0.0224
user_192,0.0219
user_415,0.0218
user_304,0.0217
user_290,0.0217
user_175,0.0214
user_193,0.0207
user_335,0.0206
user_431,0.0201
user_10,0.0201
user_280,0.0199
user_435,0.0196
user_358,0.0191
user_328,0.019
user_222,0.019
user_95,0.0189
user_160,0.0187
user_34,0.0183
user_430,0.0172
user_132,0.017
user_401,0.0167
user_427,0.0167
user_269,0.0163
user_129,0.0161
user_446,0.0161
user_267,0.0157
user_133,0.0155
user_157,0.0146
user_153,0.0143
user_64,0.0142
user_146,0.0139
user_67,0.0138
user_405,0.0136
user_390,0.0128
user_257,0.0123
user_82,0.0119
user_92,0.0117
user_58,0.0115
user_70,0.0114
user_355,0.0104
user_212,0.0103
user_41,0.0102
user_327,0.0102
user_300,0.0101
user_403,0.0099
user_43,0.0099
user_27,0.0099
user_214,0.0098
user_206,0.0098
user_77,0.0097
user_18,0.0093
user_109,0.0079
user_316,0.0073
user_362,0.0069
user_246,0.0068
user_387,0.0066
user_45,0.0065
user_32,0.006
user_365,0.0056
user_6,0.0056
user_296,0.0049
user_152,0.0048
user_276,0.0047
user_107,0.0046
user_312,0.0045
user_183,0.0043
user_250,0.0043
user_301,0.0043
user_59,0.0035
user_418,0.0034
user_76,0.003
user_197,0.003
user_289,0.0028
user_381,0.0028
user_314,0.0027
user_348,0.0027
user_224,0.0026
