User,Degree In,Degree Out
user_354,219,134
user_259,204,205
user_56,199,162
user_203,193,127
user_323,185,143
user_367,182,170
user_19,181,148
user_191,181,145
user_167,177,142
user_421,172,74
user_408,170,167
user_305,169,113
user_138,164,100
user_393,164,133
user_86,163,121
user_155,162,110
user_149,158,111
user_341,157,147
user_249,156,124
user_108,155,206
user_396,154,147
user_171,153,162
user_228,151,172
user_419,147,100
user_226,147,114
user_100,146,139
user_136,145,153
user_364,145,149
user_326,145,136
user_24,144,78
user_145,144,126
user_181,144,117
user_211,144,109
user_359,144,88
user_353,143,140
user_324,141,187
user_15,141,108
user_42,141,156
user_251,141,196
user_72,140,140
user_375,140,113
user_199,139,150
user_200,138,141
user_134,137,149
user_201,137,116
user_220,137,150
user_88,136,86
user_98,134,118
user_130,134,135
user_414,132,153
user_172,132,74
user_234,131,141
user_331,131,130
user_428,131,156
user_340,130,163
user_121,130,116
user_347,129,128
user_363,128,118
user_216,128,121
user_322,126,100
user_5,126,121
user_425,124,97
user_142,123,49
user_424,123,148
user_440,123,171
user_384,123,92
user_144,122,80
user_96,122,113
user_102,121,125
user_334,121,90
user_262,119,106
user_236,119,125
user_281,119,97
user_247,119,152
user_63,119,147
user_406,118,100
user_177,118,121
user_50,116,137
user_309,116,108
user_68,116,73
user_126,115,80
user_386,115,116
user_277,114,86
user_71,114,113
user_337,112,118
user_447,112,158
user_395,112,134
user_382,112,125
user_53,111,88
user_412,111,85
user_124,111,111
user_221,110,144
user_256,110,89
user_264,110,104
user_202,110,86
user_3,109,111
user_168,109,74
user_17,109,117
user_346,108,134
user_139,106,91
user_391,106,90
user_182,106,111
user_174,105,90
user_441,105,79
user_357,104,122
user_194,104,120
user_311,104,151
user_434,103,119
user_209,102,100
user_258,102,104
user_147,102,113
user_1,102,82
user_448,101,114
user_14,100,95
user_293,100,58
user_8,99,85
user_400,99,77
user_113,98,113
user_150,98,128
user_302,98,112
user_94,98,94
user_35,96,130
user_111,95,92
user_436,95,77
user_74,94,92
user_443,94,83
user_239,93,66
user_164,93,116
user_31,93,121
