vertice,out degree centrality
user_343,0.4766
user_108,0.4588
user_259,0.4566
user_251,0.4365
user_324,0.4165
user_228,0.3831
user_440,0.3808
user_367,0.3786
user_408,0.3719
user_340,0.363
user_56,0.3608
user_171,0.3608
user_122,0.3586
user_447,0.3519
user_42,0.3474
user_428,0.3474
user_414,0.3408
user_136,0.3408
user_247,0.3385
user_311,0.3363
user_199,0.3341
user_220,0.3341
user_134,0.3318
user_364,0.3318
user_424,0.3296
user_19,0.3296
user_396,0.3274
user_341,0.3274
user_63,0.3274
user_191,0.3229
user_221,0.3207
user_274,0.3185
user_323,0.3185
user_167,0.3163
user_200,0.314
user_234,0.314
user_388,0.314
user_72,0.3118
user_353,0.3118
user_26,0.3096
user_100,0.3096
user_50,0.3051
user_394,0.3029
user_326,0.3029
user_130,0.3007
user_346,0.2984
user_395,0.2984
user_354,0.2984
user_410,0.2984
user_393,0.2962
user_397,0.2918
user_331,0.2895
user_196,0.2895
user_35,0.2895
user_150,0.2851
user_347,0.2851
user_203,0.2829
user_145,0.2806
user_382,0.2784
user_236,0.2784
user_102,0.2784
user_402,0.2762
user_249,0.2762
user_357,0.2717
user_31,0.2695
user_177,0.2695
user_216,0.2695
user_86,0.2695
user_5,0.2695
user_194,0.2673
user_243,0.265
user_434,0.265
user_363,0.2628
user_337,0.2628
user_332,0.2628
user_98,0.2628
user_181,0.2606
user_17,0.2606
user_201,0.2584
user_164,0.2584
user_386,0.2584
user_121,0.2584
user_448,0.2539
user_226,0.2539
user_305,0.2517
user_96,0.2517
user_113,0.2517
user_147,0.2517
user_71,0.2517
user_375,0.2517
user_302,0.2494
user_182,0.2472
user_124,0.2472
user_3,0.2472
user_149,0.2472
user_155,0.245
user_211,0.2428
user_15,0.2405
user_309,0.2405
user_262,0.2361
user_141,0.2361
user_437,0.2339
user_264,0.2316
user_258,0.2316
user_69,0.2272
user_265,0.2272
user_419,0.2227
user_406,0.2227
user_209,0.2227
user_138,0.2227
user_322,0.2227
user_117,0.2205
user_266,0.2183
user_190,0.216
user_281,0.216
user_425,0.216
user_431,0.2138
user_315,0.2138
user_14,0.2116
user_94,0.2094
user_115,0.2071
user_74,0.2049
user_111,0.2049
user_384,0.2049
user_139,0.2027
user_244,0.2027
user_174,0.2004
user_391,0.2004
user_4,0.2004
user_334,0.2004
user_256,0.1982
user_81,0.1982
user_359,0.196
user_53,0.196
user_88,0.1915
user_277,0.1915
user_202,0.1915
user_272,0.1915
user_313,0.1915
user_411,0.1893
user_412,0.1893
user_8,0.1893
user_321,0.1893
user_227,0.1871
user_135,0.1871
user_443,0.1849
user_1,0.1826
user_54,0.1826
user_294,0.1826
user_46,0.1782
user_144,0.1782
user_126,0.1782
user_268,0.1782
user_270,0.1782
user_298,0.1782
user_441,0.1759
user_24,0.1737
user_300,0.1737
user_106,0.1737
user_29,0.1737
user_436,0.1715
user_275,0.1715
user_400,0.1715
user_83,0.1693
user_352,0.1693
user_392,0.167
user_48,0.167
user_288,0.167
user_33,0.167
user_25,0.1648
user_168,0.1648
user_421,0.1648
user_172,0.1648
user_40,0.1626
user_68,0.1626
user_158,0.1626
user_260,0.1626
user_93,0.1626
user_73,0.1604
user_379,0.1604
user_278,0.1604
user_131,0.1581
user_185,0.1559
user_148,0.1537
user_21,0.1537
user_407,0.1537
user_38,0.1514
user_439,0.1492
user_361,0.1492
user_6,0.1492
user_64,0.147
user_192,0.147
user_39,0.147
user_239,0.147
user_104,0.147
user_212,0.1448
user_137,0.1425
user_248,0.1425
user_188,0.1425
user_399,0.1425
user_429,0.1403
user_225,0.1403
user_23,0.1381
user_128,0.1381
user_286,0.1359
user_163,0.1336
user_235,0.1314
user_293,0.1292
user_232,0.1269
user_409,0.1225
user_360,0.1225
user_89,0.1203
user_213,0.1203
user_193,0.118
user_404,0.118
user_330,0.1136
user_77,0.1136
user_377,0.1136
user_373,0.1136
user_283,0.1136
user_450,0.1114
user_413,0.1091
user_142,0.1091
user_79,0.1091
user_257,0.1091
user_84,0.1091
user_307,0.1091
user_91,0.1069
user_374,0.1069
user_284,0.1047
user_30,0.1047
user_55,0.1002
user_401,0.1002
user_129,0.1002
user_368,0.098
user_103,0.098
user_335,0.098
user_297,0.0958
user_271,0.0958
user_154,0.0958
user_430,0.0935
user_208,0.0935
user_261,0.0935
user_205,0.0935
user_427,0.0913
user_338,0.0913
user_241,0.0913
user_362,0.0891
user_160,0.0891
user_267,0.0891
user_173,0.0891
user_291,0.0891
user_52,0.0869
user_252,0.0869
user_380,0.0869
user_442,0.0869
user_306,0.0869
user_345,0.0846
user_178,0.0846
user_195,0.0824
user_13,0.0824
user_328,0.0824
user_92,0.0802
user_146,0.0802
user_151,0.0802
user_342,0.0802
user_101,0.0802
user_125,0.0802
user_444,0.078
user_156,0.078
user_165,0.078
user_80,0.078
user_290,0.078
user_189,0.078
user_325,0.0757
user_371,0.0757
user_296,0.0757
user_105,0.0757
user_95,0.0757
user_78,0.0735
user_222,0.0735
user_223,0.0735
user_218,0.0735
user_355,0.0713
user_349,0.0713
user_255,0.0713
user_358,0.069
user_299,0.0668
user_184,0.0646
user_310,0.0646
user_245,0.0646
user_446,0.0646
user_90,0.0646
user_254,0.0646
user_351,0.0646
user_7,0.0646
user_422,0.0624
user_153,0.0624
user_10,0.0624
user_67,0.0624
user_66,0.0624
user_28,0.0624
user_376,0.0601
user_303,0.0601
user_214,0.0601
user_116,0.0601
user_12,0.0601
user_127,0.0579
user_390,0.0579
user_41,0.0579
user_57,0.0579
user_320,0.0579
user_27,0.0579
user_44,0.0557
user_2,0.0557
user_70,0.0557
user_109,0.0557
user_435,0.0557
user_34,0.0535
user_175,0.0535
user_387,0.0535
user_280,0.0512
user_9,0.0512
user_45,0.0512
user_132,0.0512
user_118,0.0512
user_162,0.049
user_304,0.049
user_369,0.049
user_143,0.049
user_179,0.049
user_378,0.049
user_417,0.049
user_403,0.049
user_65,0.0468
user_43,0.0468
user_415,0.0468
user_418,0.0445
user_82,0.0445
