titulo_canal,max_views,min_views,mean_views,std_views
BBC News Brasil,9403379,0,203265.56825,373300.32076164056
CNN Brasil,1872646,0,21337.87275,67799.52751539921
Estadão,10307382,0,24334.7885,245491.31287917696
Folha de S.Paulo,1033468,11,17243.561,61509.87761747634
GZH,805975,0,15498.700925231307,43718.48284124279
Gazeta do Povo,3073848,0,65229.41005754316,150158.2017996703
IstoÉ Publicações,2984649,1,24253.3665,136575.5578879189
Jornal O Globo,10905002,0,60250.4355,360936.24903251743
Jovem Pan News,1507742,0,12899.713032581454,45362.884250284966
Metrópoles,2407915,0,17161.165,70770.74494000759
Poder360,931770,13,9277.50475,31029.67916754517
VEJA+,996074,0,11007.1015,38958.87793867733
Valor Econômico,723210,0,3912.98925,24155.770795211887
exame,794513,0,10453.4325,38921.64355964162
g1,5447684,30,23338.7445,117718.85844508997
