titulo_canal,lower_outlier_limit,upper_outlier_limit
CNN Brasil,-24287.0,43619.0
BBC News Brasil,-249902.125,505044.875
g1,-15905.875,31003.125
Estadão,-11332.0,20580.0
Folha de S.Paulo,-11383.875,20729.125
Jornal O Globo,-28061.25,51210.75
Metrópoles,-12018.375,22158.625
VEJA+,-8928.375,17192.625
Valor Econômico,-1096.75,2281.25
Poder360,-7384.125,13770.875
exame,-7134.125,13518.875
IstoÉ Publicações,-3734.375,6498.625
GZH,-13040.75,27085.25
Gazeta do Povo,-76269.0,146331.0
Jovem Pan News,-12093.875,22207.125
