titulo_canal,max_value,min_value,mean_values,median_value,std_values
GZH,42901,0,2591.69,619.0,4212.64
Gazeta do Povo,41731,0,2173.36,615.0,2898.58
Jornal O Globo,36975,0,1390.94,301.0,2767.76
Poder360,42901,8,1268.37,135.0,3370.63
IstoÉ Publicações,32104,1,1265.03,364.0,1766.37
Valor Econômico,34815,0,1176.67,224.0,2556.02
Jovem Pan News,22256,0,1126.51,206.0,2619.94
exame,33882,13,1117.07,176.0,2250.64
VEJA+,42900,0,914.27,152.0,2471.09
Estadão,32795,0,904.6,210.5,1825.9
Folha de S.Paulo,33122,6,767.7,108.0,1517.62
CNN Brasil,23750,0,705.78,188.0,1994.49
Metrópoles,42900,0,646.72,112.0,2203.47
BBC News Brasil,32996,0,550.25,375.0,1592.08
g1,13471,5,185.54,100.0,425.69
