titulo_canal,max_value,min_value,mean_values,median_value,std_values
BBC News Brasil,376531,0,9663.24,5022.0,15615.08
Gazeta do Povo,233892,6,8180.11,3398.0,14439.14
Jornal O Globo,475956,0,1336.97,166.0,11157.98
Estadão,815175,0,764.79,62.0,13554.84
g1,164032,0,739.53,184.0,3740.43
Metrópoles,71423,0,526.86,64.0,2453.94
IstoÉ Publicações,102698,0,399.48,12.0,2920.37
CNN Brasil,43801,0,392.23,71.0,1423.61
Folha de S.Paulo,50974,0,360.16,56.0,1797.23
GZH,23920,0,341.6,111.0,911.63
Jovem Pan News,24630,0,285.45,55.5,948.16
Poder360,38345,0,280.39,47.0,1361.41
exame,22412,0,248.45,58.0,949.83
VEJA+,22993,0,220.51,68.5,942.04
Valor Econômico,17997,0,94.34,23.0,534.44
