titulo_canal,data_mais_antiga,data_mais_recente,media_videos_por_dia,desvio_videos_por_dia
CNN Brasil,2025-04-23 11:36:52+00:00,2025-05-29 15:20:24+00:00,108.11,36.1
Jovem Pan News,2025-04-16 04:03:55+00:00,2025-05-31 19:34:30+00:00,86.74,19.58
Metrópoles,2025-02-17 14:05:21+00:00,2025-05-29 17:20:28+00:00,39.22,17.95
g1,2025-02-03 13:15:17+00:00,2025-05-28 17:19:57+00:00,35.09,17.42
GZH,2025-01-25 22:11:03+00:00,2025-05-31 17:00:06+00:00,31.49,13.2
Poder360,2024-06-17 21:01:35+00:00,2025-05-30 16:21:57+00:00,12.08,11.88
Estadão,2023-11-15 16:59:00+00:00,2025-05-29 14:24:38+00:00,7.38,6.31
Folha de S.Paulo,2022-10-04 22:01:07+00:00,2025-05-29 15:37:14+00:00,4.84,4.55
VEJA+,2021-12-21 01:30:08+00:00,2025-05-30 11:30:06+00:00,3.78,3.16
Gazeta do Povo,2020-10-16 14:35:18+00:00,2025-05-31 18:00:47+00:00,2.75,1.82
Jornal O Globo,2020-02-26 14:08:29+00:00,2025-05-29 13:30:40+00:00,2.72,1.89
exame,2018-12-06 22:02:03+00:00,2025-05-30 16:28:37+00:00,2.64,7.4
BBC News Brasil,2020-02-29 13:30:02+00:00,2025-05-28 14:29:17+00:00,2.2,1.12
Valor Econômico,2017-01-30 05:00:46+00:00,2025-05-30 01:39:59+00:00,2.15,9.11
IstoÉ Publicações,2013-07-10 23:38:34+00:00,2025-05-30 17:46:16+00:00,2.13,2.53
