titulo_canal,max_value,min_value,mean_values,median_value,std_values
BBC News Brasil,9403379,0,203265.57,89972.5,373300.32
Gazeta do Povo,3073848,0,65229.41,21198.0,150158.2
Jornal O Globo,10905002,0,60250.44,5326.0,360936.25
Estadão,10307382,0,24334.79,2328.5,245491.31
IstoÉ Publicações,2984649,1,24253.37,436.0,136575.56
g1,5447684,30,23338.74,4669.5,117718.86
CNN Brasil,1872646,0,21337.87,3859.0,67799.53
Folha de S.Paulo,1033468,11,17243.56,1757.5,61509.88
Metrópoles,2407915,0,17161.16,2474.5,70770.74
GZH,805975,0,15498.7,5462.0,43718.48
Jovem Pan News,1507742,0,12899.71,2424.0,45362.88
VEJA+,996074,0,11007.1,2366.0,38958.88
exame,794513,0,10453.43,1630.5,38921.64
Poder360,931770,13,9277.5,1582.5,31029.68
Valor Econômico,723210,0,3912.99,378.0,24155.77
