video_id,titulo,descricao,canal,channel_id,data_publicacao,views_video,likes_video,comentarios_video,duracao_segundos,tags,inscritos_canal,inscritos_ocultos,visualizacoes_canal,total_videos_canal
CGj0v5KlyzA,AO VIVO: CNN 360º - 27/05/2025,"Assista AO VIVO ao programa CNN 360º desta terça-feira, 27 de maio de 2025. #CNNBrasil 

Inscreva-se no canal da CNN Brasil no YouTube.

ACOMPANHE A CNN BRASIL TAMBÉM NAS OUTRAS PLATAFORMAS:

Site: https://www.cnnbrasil.com.br/
Podcasts: https://www.cnnbrasil.com.br/podcasts/
Newsletters: https://newsletter.cnnbrasil.com.br
Facebook: https://www.facebook.com/cnnbrasil
Twitter: https://www.twitter.com/cnnbrasil
Instagram: https://www.instagram.com/cnnbrasil

#CNNBrasil #DonaldTrump #Tarifaço",CNN Brasil,UCvdwhh_fDyWccR42-rReZLw,2025-05-26T22:38:58Z,11114,315,0,0,"['CNN Esportes', 'CNN Esportes ao vivo', 'Futebol', 'Futebol ao vivo', 'CNN Brasil', 'as ultimas noticias do futebol', 'mercado da bola', 'convocação da seleção brasileira', 'seleção brasileira', 'convocação da seleção brasileira hoje', 'SELEÇÃO', 'CONVOCAÇÃO', 'A NOVA SELEÇÃO', 'convocação hoje', 'brasil', 'jogadores do brasil', 'neymar', 'pre lista da seleção brasileira', 'convocação da seleção brasileira 2025', 'convocação', 'convocação do ancelotti', 'Ancelotti', 'carlo ancelotti', 'convocação ao vivo', 'convocação seleção']",5890000,False,3788491449,129354
ghwV20yR_l0,INSS segue sem plano de ressarcimento um mês após fraude ser revelada | CNN 360º,"Um mês após a operação que revelou um esquema de descontos irregulares aplicados a aposentados e pensionistas pagos pelo Instituto Nacional do Seguro Social (INSS), o governo federal ainda enfrenta dificuldades para implementar um plano eficaz de devolução dos valores cobrados de forma indevida. #CNNBrasil

Leia mais: https://www.cnnbrasil.com.br/politica/inss-segue-sem-plano-de-ressarcimento-um-mes-apos-fraude-ser-revelada/

Inscreva-se no canal da CNN Brasil no YouTube.

ACOMPANHE A CNN BRASIL TAMBÉM NAS OUTRAS PLATAFORMAS:

Site: https://www.cnnbrasil.com.br/
Podcasts: https://www.cnnbrasil.com.br/podcasts/
Newsletters: https://newsletter.cnnbrasil.com.br
Facebook: https://www.facebook.com/cnnbrasil
Twitter: https://www.twitter.com/cnnbrasil
Instagram: https://www.instagram.com/cnnbrasil",CNN Brasil,UCvdwhh_fDyWccR42-rReZLw,2025-05-27T18:50:42Z,8,2,0,87,"['cnn', 'cnn ao vivo', 'cnn ao vivo agora', 'cnn ao vivo agora online', 'cnn brasil', 'cnn brasil ao vivo', 'cnn brasil ao vivo agora hoje', 'cnn brasil notícias', 'descontos no inss', 'fraude no inss', 'governo federal', 'inss', 'jornal cnn brasil', 'notícias', 'notícias ao vivo', 'notícias de hoje', 'últimas notícias cnn brasil']",5890000,False,3788491449,129354
k4Kp3y2tWMw,AO VIVO: LIVE CNN - 28/05/25,"Assista AO VIVO ao Live CNN de quarta-feira, 28 de maio de 2025. #CNNBrasil   

Inscreva-se no canal da CNN Brasil no YouTube.

ACOMPANHE A CNN BRASIL TAMBÉM NAS OUTRAS PLATAFORMAS:

Site: https://www.cnnbrasil.com.br/
Podcasts: https://www.cnnbrasil.com.br/podcasts/
Newsletters: https://newsletter.cnnbrasil.com.br
Facebook: https://www.facebook.com/cnnbrasil
Twitter: https://www.twitter.com/cnnbrasil
Instagram: https://www.instagram.com/cnnbrasil",CNN Brasil,UCvdwhh_fDyWccR42-rReZLw,2025-05-27T18:49:30Z,0,0,0,0,"['cnn', 'cnn ao vivo', 'cnn brasil', 'cnn brasil ao vivo', 'cnn brasil notícias', 'jornal cnn brasil', 'notícias', 'notícias ao vivo', 'notícias de hoje', 'últimas notícias cnn brasil', 'cnn brasil ao vivo agora hoje', 'cnn ao vivo agora', 'cnn ao vivo agora online']",5890000,False,3788491449,129354
M5C_R7_M_34,A dupla de freiras que viralizou com passos de dança e beatbox do rap 🎤 #bbcnewsbrasil,"As irmãs Marisa e Marizele, do Paraná, foram convidadas para o programa Família de Amor, da TV Pai Eterno, de Goiânia, para discutir vocação religiosa. 

Elas trabalham com música para ajudar na recuperação de jovens que lutam contra o vício em drogas. 

Marizele foi a responsável por fazer o beatbox que impressionou fãs do hip hop. Segundo a TV Globo, ela é médica veterinária e neta de violeiro.

O sucesso chegou a diversos canais pelo mundo. 

Veja a apresentação delas no vídeo.

#bbcbrasil #noticias #curiosidades #hiphop #rap #religiao #catolicos",BBC News Brasil,UCthbIFAxbXTTQEC7EcQvP1Q,2025-05-27T16:24:27Z,7799,1040,69,28,"['bbc brasil', 'bbcbrasil', 'notícias internacionais', 'bbc news brasil', 'bbc']",4260000,False,1124372246,8098
qRxf25oBWDY,Momento em que motorista avança sobre torcedores do Liverpool,"'Inferno na Terra' 🇬🇧

Veja o momento em que motorista avançou contra uma multidão durante um evento em Liverpool, no Reino Unido, ferindo quase 50 pessoas. Um adulto e uma criança sofreram ferimentos graves — e 27 pessoas foram levadas ao hospital.

O atropelamento ocorreu na segunda-feira (26/05) enquanto milhares de pessoas estavam comemorando a conquista da Premier League, o campeonato inglês de futebol, pelo time do Liverpool. Nesta terça-feira (27/05), a rua continuava fechada pela polícia.

Um britânico de 53 anos que morava na área de Liverpool foi preso. A polícia acredita que ele seja o motorista do carro que provocou os atropelamentos.

Ainda não está claro por que o incidente ocorreu, mas a polícia afirma que o caso não está sendo tratado como terrorismo.

Leia o que se sabe sobre o caso no www.bbcbrasil.com. https://www.bbc.com/portuguese/articles/cvg5j93xegvo

Curtiu? Inscreva-se no canal da BBC News Brasil! E se quiser ler mais notícias, clique aqui: https://www.bbcbrasil.com",BBC News Brasil,UCthbIFAxbXTTQEC7EcQvP1Q,2025-05-27T11:55:27Z,7478,369,35,79,"['bbc brasil', 'bbcbrasil', 'notícias internacionais', 'bbc news brasil', 'bbc']",4260000,False,1124372246,8098
rLSVOcrJLwE,A onda de evitar picos de glicose para emagrecer — e por que ela faz sentido,"Aumento rápido de açúcar no sangue é descrito por especialistas como um dos principais mecanismos do corpo para estocar gordura e também como algo que pode acarretar problemas de saúde a longo prazo. 

Ouça áudio de reportagem de Giulia Granchi.        

Leia também o texto https://www.bbc.com/portuguese/articles/c98yd859demo.

O BBC Lê foi lançado como podcast que você pode ouvir ou baixar em Apple Podcasts (https://podcasts.apple.com/br/podcast/bbc-l%C3%AA/id1586358051?uo=4), Spotify (https://open.spotify.com/show/54YV8Rd6zmvq9Ry55q9HQw) ou Amazon Music (https://music.amazon.com.br/podcasts/5082d646-cd10-4192-8f83-4812d02b6f83/bbc-l%C3%AA). 

A lista completa dos episódios no YouTube está aqui: https://www.youtube.com/playlist?list=PLCX5XjxKTpTlB8KK68IQDWfiSMjqNwVmB 

Curtiu? Inscreva-se no canal da BBC News Brasil! E se quiser ler mais notícias, clique aqui: https://www.bbcbrasil.com",BBC News Brasil,UCthbIFAxbXTTQEC7EcQvP1Q,2025-05-27T10:01:28Z,11430,1307,23,611,"['bbc brasil', 'bbcbrasil', 'notícias internacionais', 'bbc news brasil', 'bbc']",4260000,False,1124372246,8098
A1jcFzIv744,Jornal Hoje: Presidente do Corinthians é afastado #g1,"----------------------------------------------------------------------------------------------------------------------------------------
Olá! 

Esse é o canal do g1, o portal de notícias da globo. Aqui vamos trazer vídeos pra informar, inspirar e divertir. 

Quer entender um fato? Vem com a gente! 🤔 
Quer ver histórias legais? Vem com a gente! 😊 
Quer saber o que tá acontecendo? Vem com a gente! 😉 

Veja todas as nossas playlists! https://bit.ly/3zdXlHY

Segue a gente e ativa o sino 🔔 pra saber tudo que tá rolando aqui no canal do g1 no YouTube. Pode entrar, fica à vontade pra compartilhar  com os amigos e não se esqueça de se inscrever, tá? https://glo.bo/3pIZyHL 🔔👍🏼

E muito mais conteúdo em g1.com.br

g1 nas Redes Sociais:

TikTok - glo.bo/33cZzg1
Kwai - glo.bo/3pJoShs
Facebook - facebook.com/g1
Twitter - twitter.com/g1
Instagram - instagram.com/portalg1/

#g1 #notícias",g1,UCaGmdJSSiR7fkh2A-c6emsA,2025-05-27T18:01:17Z,240,17,2,137,"['g1', 'notícia', 'notícias', 'corinthians', 'impeachment', 'presidente', 'augustomelo', 'conselho', 'futebol', 'afastamento']",1490000,False,538909605,19902
m6JtNMzfQVU,Jornal Hoje: STF ouve testemunha de Anderson Torres #g1,"----------------------------------------------------------------------------------------------------------------------------------------
Olá! 

Esse é o canal do g1, o portal de notícias da globo. Aqui vamos trazer vídeos pra informar, inspirar e divertir. 

Quer entender um fato? Vem com a gente! 🤔 
Quer ver histórias legais? Vem com a gente! 😊 
Quer saber o que tá acontecendo? Vem com a gente! 😉 

Veja todas as nossas playlists! https://bit.ly/3zdXlHY

Segue a gente e ativa o sino 🔔 pra saber tudo que tá rolando aqui no canal do g1 no YouTube. Pode entrar, fica à vontade pra compartilhar  com os amigos e não se esqueça de se inscrever, tá? https://glo.bo/3pIZyHL 🔔👍🏼

E muito mais conteúdo em g1.com.br

g1 nas Redes Sociais:

TikTok - glo.bo/33cZzg1
Kwai - glo.bo/3pJoShs
Facebook - facebook.com/g1
Twitter - twitter.com/g1
Instagram - instagram.com/portalg1/

#g1 #notícias",g1,UCaGmdJSSiR7fkh2A-c6emsA,2025-05-27T17:56:25Z,296,36,7,293,"['g1', 'notícia', 'notícias', 'andersontorres', 'tentativadegolpe', 'stf', 'alexandredemoraes', 'julgamento', 'golpe', 'bolsonaro']",1490000,False,538909605,19902
9VvN3v0oAwk,Jornal Hoje: Donald Trump quer acabar com todo contrato entre governo e Harvard #g1,"----------------------------------------------------------------------------------------------------------------------------------------
Olá! 

Esse é o canal do g1, o portal de notícias da globo. Aqui vamos trazer vídeos pra informar, inspirar e divertir. 

Quer entender um fato? Vem com a gente! 🤔 
Quer ver histórias legais? Vem com a gente! 😊 
Quer saber o que tá acontecendo? Vem com a gente! 😉 

Veja todas as nossas playlists! https://bit.ly/3zdXlHY

Segue a gente e ativa o sino 🔔 pra saber tudo que tá rolando aqui no canal do g1 no YouTube. Pode entrar, fica à vontade pra compartilhar  com os amigos e não se esqueça de se inscrever, tá? https://glo.bo/3pIZyHL 🔔👍🏼

E muito mais conteúdo em g1.com.br

g1 nas Redes Sociais:

TikTok - glo.bo/33cZzg1
Kwai - glo.bo/3pJoShs
Facebook - facebook.com/g1
Twitter - twitter.com/g1
Instagram - instagram.com/portalg1/

#g1 #notícias",g1,UCaGmdJSSiR7fkh2A-c6emsA,2025-05-27T17:51:17Z,631,47,12,155,"['g1', 'notícia', 'notícias', 'donaldtrump', 'harvard', 'governo', 'eua', 'estadosunidos', 'universidade']",1490000,False,538909605,19902
EXYzAwpcDaU,Nova onda de ar polar pode provocar temperaturas negativas e neve,"Fenômeno começa na tarde desta terça-feira, 27, na região Sul, e avança para o Sudeste, Centro-Oeste e oeste da região Norte nos próximos dias

ASSINE O ESTADÃO:
Seja assinante por R$1,90/mês e tenha acesso ilimitado ao nosso conteúdo. Acesse: http://bit.ly/estadao-oferta-yt",Estadão,UCrtOL8bJsh-csozGS2aV77Q,2025-05-27T17:12:00Z,618,18,1,75,"['Estadão', 'Notícias', 'Jornalismo', 'temperatura', 'nev', 'neve', 'winter', 'negativa', 'snow', 'onda polar', 'inverno']",1210000,False,435186666,23777
