video_id,titulo,descricao,canal,channel_id,data_publicacao,views_video,likes_video,comentarios_video,duracao_segundos,tags,inscritos_canal,inscritos_ocultos,visualizacoes_canal,total_videos_canal
k4Kp3y2tWMw,AO VIVO: LIVE CNN - 28/05/25,"Assista AO VIVO ao Live CNN de quarta-feira, 28 de maio de 2025. #CNNBrasil   

Inscreva-se no canal da CNN Brasil no YouTube.

ACOMPANHE A CNN BRASIL TAMBÉM NAS OUTRAS PLATAFORMAS:

Site: https://www.cnnbrasil.com.br/
Podcasts: https://www.cnnbrasil.com.br/podcasts/
Newsletters: https://newsletter.cnnbrasil.com.br
Facebook: https://www.facebook.com/cnnbrasil
Twitter: https://www.twitter.com/cnnbrasil
Instagram: https://www.instagram.com/cnnbrasil",CNN Brasil,UCvdwhh_fDyWccR42-rReZLw,2025-05-27T18:49:30Z,31555,0,0,0,"['cnn', 'cnn ao vivo', 'cnn brasil', 'cnn brasil ao vivo', 'cnn brasil notícias', 'jornal cnn brasil', 'notícias', 'notícias ao vivo', 'notícias de hoje', 'últimas notícias cnn brasil', 'cnn brasil ao vivo agora hoje', 'cnn ao vivo agora', 'cnn ao vivo agora online']",5890000,False,3789774808,129457
s_SL6a3TAUE,Frente fria: Temporal derruba ponte e cancela aulas em municípios do RS | LIVE CNN,"Moradores de Cacequi, na região central do Rio Grande do Sul, estão sem uma das principais ligações com o município vizinho, São Vicente do Sul, após a queda de uma ponte que liga as cidades na tarde de segunda-feira (26). O forte temporal que atingiu a região fez a ponte do Balneário Passo do Umbu, sobre o rio Ibicuí, colapsar parcialmente. #CNNBrasil

Leia mais: https://www.cnnbrasil.com.br/nacional/sul/rs/frente-fria-temporal-derruba-ponte-e-cancela-aulas-em-municipios-do-rs/

Inscreva-se no canal da CNN Brasil no YouTube.

ACOMPANHE A CNN BRASIL TAMBÉM NAS OUTRAS PLATAFORMAS:

Site: https://www.cnnbrasil.com.br/
Podcasts: https://www.cnnbrasil.com.br/podcasts/
Newsletters: https://newsletter.cnnbrasil.com.br
Facebook: https://www.facebook.com/cnnbrasil
Twitter: https://www.twitter.com/cnnbrasil
Instagram: https://www.instagram.com/cnnbrasil",CNN Brasil,UCvdwhh_fDyWccR42-rReZLw,2025-05-28T14:08:22Z,15,5,0,209,"['cnn', 'cnn ao vivo', 'cnn ao vivo agora', 'cnn ao vivo agora online', 'cnn brasil', 'cnn brasil ao vivo', 'cnn brasil ao vivo agora hoje', 'cnn brasil notícias', 'frente fria', 'jornal cnn brasil', 'notícias', 'notícias ao vivo', 'notícias de hoje', 'ponte rs', 'temporal derruba ponte', 'últimas notícias cnn brasil']",5890000,False,3789774808,129457
e77diUoTo7I,Lula escolhe Carlos Brandão para ministro do STJ após quase sete meses de análise | LIVE CNN,"O presidente Luiz Inácio Lula da Silva (PT) indicou o desembargador Carlos Augusto Pires Brandão para o Superior Tribunal de Justiça (STJ). A decisão ocorreu após quase sete meses de análise. Entretanto, a escolha para o cargo depende da aprovação da Comissão de Constituição, Justiça e Cidadania (CCJ) e do plenário da Casa. #CNNBrasil    

Inscreva-se no canal da CNN Brasil no YouTube.  

ACOMPANHE A CNN BRASIL TAMBÉM NAS OUTRAS PLATAFORMAS:  

Site: https://www.cnnbrasil.com.br/  
Podcasts: https://www.cnnbrasil.com.br/podcasts/  
Newsletters: https://newsletter.cnnbrasil.com.br  
Facebook: https://www.facebook.com/cnnbrasil  
Twitter: https://www.twitter.com/cnnbrasil  
Instagram: https://www.instagram.com/cnnbrasil",CNN Brasil,UCvdwhh_fDyWccR42-rReZLw,2025-05-28T14:03:16Z,64,5,0,186,"['Brandão', 'Carlos', 'Carlos Brandão', 'Justiça', 'Lula', 'PT', 'STJ', 'Tribunal', 'cnn', 'cnn ao vivo', 'cnn ao vivo agora', 'cnn ao vivo agora online', 'cnn brasil', 'cnn brasil ao vivo', 'cnn brasil ao vivo agora hoje', 'cnn brasil notícias', 'indicação', 'jornal cnn brasil', 'ministro do STJ', 'notícias', 'notícias ao vivo', 'notícias de hoje', 'últimas notícias cnn brasil']",5890000,False,3789774808,129457
i5IdPUlAFlA,Testemunha de Anderson Torres discute com Moraes durante depoimento | LIVE CNN,"O ministro Alexandre de Moraes, do Supremo Tribunal Federal (STF), se irritou durante o depoimento de uma testemunha de defesa do ex-ministro e ex-secretário de Segurança Pública do Distrito Federal Anderson Torres. Rosivan Correia de Souza, servidor da Secretaria de Segurança Pública do DF (SSP-DF), afirmou em sua oitiva que o Comando-Geral da PMDF não estaria subordinado à secretaria, mas apenas vinculado a ela. #CNNBrasil

Inscreva-se no canal da CNN Brasil no YouTube.

ACOMPANHE A CNN BRASIL TAMBÉM NAS OUTRAS PLATAFORMAS:

Site: https://www.cnnbrasil.com.br/
Podcasts: https://www.cnnbrasil.com.br/podcasts/
Newsletters: https://newsletter.cnnbrasil.com.br
Facebook: https://www.facebook.com/cnnbrasil
Twitter: https://www.twitter.com/cnnbrasil
Instagram: https://www.instagram.com/cnnbrasil",CNN Brasil,UCvdwhh_fDyWccR42-rReZLw,2025-05-28T13:54:15Z,1899,124,41,225,"['Anderson Torres', 'cnn', 'cnn ao vivo', 'cnn ao vivo agora', 'cnn ao vivo agora online', 'cnn brasil', 'cnn brasil ao vivo', 'cnn brasil ao vivo agora hoje', 'cnn brasil notícias', 'jornal cnn brasil', 'notícias', 'notícias ao vivo', 'notícias de hoje', 'supremo tribunal federal', 'últimas notícias cnn brasil']",5890000,False,3789774808,129457
zjH5h2N_Wb0,Mauro Vieira explica asilo à ex-primeira dama do Peru  | LIVE CNN,"O ministro das Relações Interiores, Mauro Vieira, explicou o asilo diplomático concedido pelo governo brasileiro à ex-primeira dama do Peru Nadine Heredia, durante a Comissão de Relações Exteriores na Câmara dos Deputados nesta quarta-feira (28). Vieira está sendo chamado para prestar esclarecimentos sobre a situação desde abril deste ano, quando o Brasil anunciou o asilo político à Heredia. #CNNBrasil  

Inscreva-se no canal da CNN Brasil no YouTube.  

ACOMPANHE A CNN BRASIL TAMBÉM NAS OUTRAS PLATAFORMAS:  

Site: https://www.cnnbrasil.com.br/  
Podcasts: https://www.cnnbrasil.com.br/podcasts/  
Newsletters: https://newsletter.cnnbrasil.com.br  
Facebook: https://www.facebook.com/cnnbrasil  
Twitter: https://www.twitter.com/cnnbrasil  
Instagram: https://www.instagram.com/cnnbrasil",CNN Brasil,UCvdwhh_fDyWccR42-rReZLw,2025-05-28T13:36:13Z,495,23,11,457,"['Brasil', 'Comissão', 'Mauro', 'Mauro Vieira', 'Peru', 'Relações Exteriores', 'Vieira', 'asilo diplomático', 'asilo político', 'cnn', 'cnn ao vivo', 'cnn ao vivo agora', 'cnn ao vivo agora online', 'cnn brasil', 'cnn brasil ao vivo', 'cnn brasil ao vivo agora hoje', 'cnn brasil notícias', 'jornal cnn brasil', 'ministro de relações exteriores', 'notícias', 'notícias ao vivo', 'notícias de hoje', 'últimas notícias cnn brasil']",5890000,False,3789774808,129457
i7_N3BLr8nY,Pombos invadem cabine de avião da Delta e causam alvoroço nos EUA,"Dois pombos entraram em um avião da Delta Airlines e atrasaram um voo que saía de Mineápolis, no estado americano de Minnesota, no último sábado (22).

""Foi bizarro"", relatou um passageiro à CNN. ""Quando entrei no avião, ouvi uma passageira dizer a uma comissária de bordo que achava que havia um pombo no avião e olhei para ela e pensei: 'Do que ela está falando?'"", acrescentou.

Carregadores de bagagem foram acionados a bordo para remover o animal. No entanto, quando a aeronave deixou o portão e se preparava para decolar, um outro pombo surgiu. A tripulação decidiu, então, retornar ao portão para que a ave fosse retirada com segurança.

No fim, o voo que levava 119 passageiros e cinco tripulantes, chegou no destino - a cidade de Madison, em Wisconsin - uma hora depois do previsto. A Delta pediu desculpas pelo atraso.

Inscreva-se no canal da CNN Brasil no YouTube.

ACOMPANHE A CNN BRASIL TAMBÉM NAS OUTRAS PLATAFORMAS:

Site: https://www.cnnbrasil.com.br/
Newsletters: https://newsletter.cnnbrasil.com.br
X: https://x.com/cnnbrasil
Facebook: https://www.facebook.com/cnnbrasil
Instagram: https://www.instagram.com/cnnbrasil
TikTok: https://www.tiktok.com/@cnnbrasil",CNN Brasil,UCvdwhh_fDyWccR42-rReZLw,2025-05-28T13:35:07Z,2759,24,4,18,"['cnn', 'cnn ao vivo', 'cnn ao vivo agora', 'cnn ao vivo agora online', 'cnn brasil', 'cnn brasil ao vivo', 'cnn brasil ao vivo agora hoje', 'cnn brasil notícias', 'jornal cnn brasil', 'notícias', 'notícias ao vivo', 'notícias de hoje', 'últimas notícias cnn brasil', 'cnn brasil ao vivo agora', 'jornal ao vivo', 'ao vivo', 'cnn brasil ao vivo agora online', 'cnn arena', 'elisa veeck', 'william wack', 'taina falcao', 'gustavo uribe', 'análises cnn', 'ao vivo cnn', 'programação cnn', 'pombo', 'eua', 'avião', 'shorts']",5890000,False,3789774808,129457
l7YXYP4APSE,"""Venezuelano morto de fome"": jogador do Talleres acusa são-paulino de xenofobia | LIVE CNN","O jogador venezuelano Navarro, do Talleres, contou detalhes do ato de xenofobia ao qual diz ter sido vítima no estádio do MorumBIS. Na zona mista, após a partida entre o time argentino e o São Paulo, o lateral revelou que Damián Bobadilla, volante do Tricolor, o teria chamado de ""venezuelano morto de fome"". #CNNBrasil

Leia também: https://www.cnnbrasil.com.br/esportes/futebol/venezuelano-morto-de-fome-jogador-do-talleres-chora-e-cobra-justica/

Inscreva-se no canal da CNN Brasil no YouTube.

ACOMPANHE A CNN BRASIL TAMBÉM NAS OUTRAS PLATAFORMAS:

Site: https://www.cnnbrasil.com.br/
Podcasts: https://www.cnnbrasil.com.br/podcasts/
Newsletters: https://newsletter.cnnbrasil.com.br
Facebook: https://www.facebook.com/cnnbrasil
Twitter: https://www.twitter.com/cnnbrasil
Instagram: https://www.instagram.com/cnnbrasil",CNN Brasil,UCvdwhh_fDyWccR42-rReZLw,2025-05-28T13:27:57Z,428,22,9,404,"['CNN ESPORTES', 'cnn', 'cnn ao vivo', 'cnn ao vivo agora', 'cnn ao vivo agora online', 'cnn brasil', 'cnn brasil ao vivo', 'cnn brasil ao vivo agora hoje', 'cnn brasil notícias', 'jogador', 'jornal cnn brasil', 'notícias', 'notícias ao vivo', 'notícias de hoje', 'venezuelano morto de fome', 'xenofobia', 'últimas notícias cnn brasil']",5890000,False,3789774808,129457
w5KVIBC7SVs,PF prende grupo que cobrava R$ 250 mil para matar ministros do STF | LIVE CNN,"A Polícia Federal (PF) prendeu nesta quarta-feira (28) cinco integrantes de uma ""agência de extermínio"" que cobrava R$ 250 mil para monitorar e matar ministros do Supremo Tribunal Federal (STF). #CNNBrasil

Leia mais: https://www.cnnbrasil.com.br/politica/pf-prende-grupo-que-cobrava-r-250-mil-para-monitorar-e-matar-ministros-do/

Inscreva-se no canal da CNN Brasil no YouTube.

ACOMPANHE A CNN BRASIL TAMBÉM NAS OUTRAS PLATAFORMAS:

Site: https://www.cnnbrasil.com.br/
Podcasts: https://www.cnnbrasil.com.br/podcasts/
Newsletters: https://newsletter.cnnbrasil.com.br
Facebook: https://www.facebook.com/cnnbrasil
Twitter: https://www.twitter.com/cnnbrasil
Instagram: https://www.instagram.com/cnnbrasil",CNN Brasil,UCvdwhh_fDyWccR42-rReZLw,2025-05-28T13:20:17Z,19642,1261,829,145,"['STF', 'cnn', 'cnn ao vivo', 'cnn ao vivo agora', 'cnn ao vivo agora online', 'cnn brasil', 'cnn brasil ao vivo', 'cnn brasil ao vivo agora hoje', 'cnn brasil notícias', 'jornal cnn brasil', 'notícias', 'notícias ao vivo', 'notícias de hoje', 'pf', 'prende', 'prisão', 'supremo', 'últimas notícias cnn brasil']",5890000,False,3789774808,129457
aTTF9LKSqBE,Trump oferece participação de graça no Domo de Ouro se Canadá se anexar | CNN NOVO DIA,"O presidente dos Estados Unidos, Donald Trump, afirmou em uma publicação no Truth Social nesta terça-feira (27) que o projeto de escudo antimísseis Golden Dome, ou Domo de Ouro na tradução livre, custaria ao Canadá US$ 61 bilhões. Contudo, segundo o presidente americano, se o Canadá se tornasse o 51º estado dos EUA, a participação no plano ""custará zero dólares"". #CNNBrasil

Leia mais: https://www.cnnbrasil.com.br/internacional/trump-oferece-participacao-de-graca-no-domo-de-ouro-se-canada-se-anexar/

Inscreva-se no canal da CNN Brasil no YouTube.

ACOMPANHE A CNN BRASIL TAMBÉM NAS OUTRAS PLATAFORMAS:

Site: https://www.cnnbrasil.com.br/
Podcasts: https://www.cnnbrasil.com.br/podcasts/
Newsletters: https://newsletter.cnnbrasil.com.br
Facebook: https://www.facebook.com/cnnbrasil
Twitter: https://www.twitter.com/cnnbrasil
Instagram: https://www.instagram.com/cnnbrasil",CNN Brasil,UCvdwhh_fDyWccR42-rReZLw,2025-05-28T13:00:04Z,4277,310,114,185,"['Trump', 'canadá', 'cnn', 'cnn ao vivo', 'cnn ao vivo agora', 'cnn ao vivo agora online', 'cnn brasil', 'cnn brasil ao vivo', 'cnn brasil ao vivo agora hoje', 'cnn brasil notícias', 'domo de ouro', 'estados unidos', 'jornal cnn brasil', 'notícias', 'notícias ao vivo', 'notícias de hoje', 'últimas notícias cnn brasil']",5890000,False,3789774808,129457
ZQpva8ubJf8,PF deflagra nova fase de operação que investiga venda de sentenças no STJ | CNN NOVO DIA,"A Polícia Federal (PF) deflagrou, na manhã desta quarta-feira (28), a sétima fase da Operação Sisamnes, com o intuito de investigar os possíveis mandantes e coautores do homicídio de um advogado em 2023, em Cuiabá (MT). A investigação apura vendas de sentenças por intermédio de gabinetes do Superior Tribunal de Justiça (STJ). #CNNBrasil

Leia mais: https://www.cnnbrasil.com.br/politica/pf-deflagra-nova-fase-de-operacao-que-investiga-venda-de-sentencas-no-stj/

Inscreva-se no canal da CNN Brasil no YouTube.

ACOMPANHE A CNN BRASIL TAMBÉM NAS OUTRAS PLATAFORMAS:

Site: https://www.cnnbrasil.com.br/
Podcasts: https://www.cnnbrasil.com.br/podcasts/
Newsletters: https://newsletter.cnnbrasil.com.br
Facebook: https://www.facebook.com/cnnbrasil
Twitter: https://www.twitter.com/cnnbrasil
Instagram: https://www.instagram.com/cnnbrasil",CNN Brasil,UCvdwhh_fDyWccR42-rReZLw,2025-05-28T12:43:35Z,4868,285,82,81,"['Polícia Federal', 'STJ (Superior Tribunal de Justiça)', 'cnn', 'cnn ao vivo', 'cnn ao vivo agora', 'cnn ao vivo agora online', 'cnn brasil', 'cnn brasil ao vivo', 'cnn brasil ao vivo agora hoje', 'cnn brasil notícias', 'jornal cnn brasil', 'notícias', 'notícias ao vivo', 'notícias de hoje', 'últimas notícias cnn brasil']",5890000,False,3789774808,129457
