video_id,titulo,descricao,canal,channel_id,data_publicacao,views_video,likes_video,comentarios_video,duracao_segundos,tags,inscritos_canal,inscritos_ocultos,visualizacoes_canal,total_videos_canal
S5q8hi0Ux0k,Lula diz que Deus deixou sertão sem água porque sabia que ele seria presidente,"Assine a TV Folha
https://goo.gl/EBg4ag

Leia mais na Folha
http://www.folha.com.br

Instagram
https://www.instagram.com/folhadespaulo/",Folha de S.Paulo,UCmYuiV9wAR3i8p19Ygc7izg,2025-05-29T15:37:14Z,819,15,28,61,"['folha', 'jornalismo', 'folha de s.paulo', 'tv folha', 'notícias', 'folha de sao paulo', 'brasil', 'são paulo', 'rio de janeiro']",1020000,False,275983497,8464
jMLQaiftMwQ,"Em recado a Trump, reitor de Harvard saúda estudantes 'de todo o mundo, como deve ser'","Assine a TV Folha
https://goo.gl/EBg4ag

Leia mais na Folha
http://www.folha.com.br

Instagram
https://www.instagram.com/folhadespaulo/",Folha de S.Paulo,UCmYuiV9wAR3i8p19Ygc7izg,2025-05-29T15:36:55Z,22,5,1,72,"['folha', 'jornalismo', 'folha de s.paulo', 'tv folha', 'notícias', 'folha de sao paulo', 'brasil', 'são paulo', 'rio de janeiro']",1020000,False,275983497,8464
33f8UYKXZ2E,"Marina nega isolamento, diz não pensar em sair do governo e vê resultado na agenda ambiental","Assine a TV Folha
https://goo.gl/EBg4ag

Leia mais na Folha
http://www.folha.com.br

Instagram
https://www.instagram.com/folhadespaulo/",Folha de S.Paulo,UCmYuiV9wAR3i8p19Ygc7izg,2025-05-29T15:25:40Z,256,13,10,597,"['folha', 'jornalismo', 'folha de s.paulo', 'tv folha', 'notícias', 'folha de sao paulo', 'brasil', 'são paulo', 'rio de janeiro']",1020000,False,275983497,8464
fvxaLO62kGM,Deslizamento de geleira destrói maior parte de vilarejo na Suíça,"Uma geleira desabou nesta quarta-feira (28) no sul da Suíça e destruiu parcialmente o vilarejo de Blatten, que havia sido evacuado na semana passada.

Assine a TV Folha
https://goo.gl/EBg4ag

Leia mais na Folha
http://www.folha.com.br

Instagram
https://www.instagram.com/folhadespaulo/",Folha de S.Paulo,UCmYuiV9wAR3i8p19Ygc7izg,2025-05-29T12:16:05Z,637,18,3,66,"['folha', 'jornalismo', 'folha de s.paulo', 'tv folha', 'notícias', 'folha de sao paulo', 'brasil', 'são paulo', 'rio de janeiro']",1020000,False,275983497,8464
l6Ax0dNbRLI,Duas pessoas morrem após multidão invadir armazém de comida da ONU na Faixa de Gaza,"Em outro incidente, nesta quarta-feira (28), duas pessoas morreram após ""hordas de famintos"" invadirem um armazém do Programa Mundial de Alimentos (PMA), também das Nações Unidas, em Deir al-Balah, no centro de Gaza. ""Necessidades humanitárias saíram do controle após 80 dias de bloqueio completo a toda assistência alimentar e outros tipos de auxílio em Gaza. O PMA pede um acesso humanitário imediato, seguro e desimpedido para permitir a distribuição ordenada de comida em Gaza"", disse o órgão da ONU, vencedor do Nobel da Paz em 2020, em comunicado.

Leia mais: 

Assine a TV Folha
https://goo.gl/EBg4ag

Leia mais na Folha
http://www.folha.com.br

Instagram
https://www.instagram.com/folhadespaulo/",Folha de S.Paulo,UCmYuiV9wAR3i8p19Ygc7izg,2025-05-29T12:02:15Z,3246,86,56,92,"['folha', 'jornalismo', 'folha de s.paulo', 'tv folha', 'notícias', 'folha de sao paulo', 'brasil', 'são paulo', 'rio de janeiro']",1020000,False,275983497,8464
rbNew_6cFBk,Embaixador da Palestina chora ao falar sobre morte de crianças em Gaza,"Assine a TV Folha
https://goo.gl/EBg4ag

Leia mais na Folha
http://www.folha.com.br

Instagram
https://www.instagram.com/folhadespaulo/",Folha de S.Paulo,UCmYuiV9wAR3i8p19Ygc7izg,2025-05-29T01:58:53Z,1532,62,15,64,"['folha', 'jornalismo', 'folha de s.paulo', 'tv folha', 'notícias', 'folha de sao paulo', 'brasil', 'são paulo', 'rio de janeiro', 'onu', 'embaixador', 'palestina', 'embaixador chora', 'gaza']",1020000,False,275983497,8464
a9jrCN6kSHY,EUA anunciam restrição de visto para quem 'censurar' americanos,"O Departamento de Estado da gestão Donald Trump anunciou nesta quarta-feira (28) que vai restringir o acesso aos Estados Unidos de estrangeiros que o governo avaliar como responsáveis por censurar empresas ou cidadãos americanos, assim como residentes no país, informa Julia Chaib, correspondente da Folha em Washington.

Assine a TV Folha
https://goo.gl/EBg4ag

Leia mais na Folha
http://www.folha.com.br

Instagram
https://www.instagram.com/folhadespaulo/",Folha de S.Paulo,UCmYuiV9wAR3i8p19Ygc7izg,2025-05-29T01:47:08Z,1424,109,14,174,"['folha', 'jornalismo', 'folha de s.paulo', 'tv folha', 'notícias', 'folha de sao paulo', 'brasil', 'são paulo', 'rio de janeiro']",1020000,False,275983497,8464
XTKzqA9I20Q,"Entre reborns e videogames, brincar na vida adulta é recomendável? #diadobrincar #brincadeiras","Crianças pequenas que passam no máximo uma hora por dia em frente às telas e são fisicamente ativas têm melhor desempenho em funções como memória, atenção e controle das emoções, mostra artigo publicado no ""The Journal of Pediatrics"", que acompanhou 356 meninos e meninas de 2 anos de idade.

Para discutir quando a tela é vilã ou aliada na hora de brincar, Priscila Camazano recebe a psicóloga familiar e psicanalista Roberta Krauss.

Leia mais na Folha
http://www.folha.com.br

Instagram
https://www.instagram.com/folhadespaulo/

#jogos #brincadeiras #reborn #bebê #criança #diversão #alegria #paternidade #maternidade #parentalidade #educaçãopositiva  #humanização",Folha de S.Paulo,UCmYuiV9wAR3i8p19Ygc7izg,2025-05-28T23:06:26Z,799,37,2,95,"['folha', 'jornalismo', 'folha de s.paulo', 'tv folha', 'notícias', 'folha de sao paulo', 'brasil', 'são paulo', 'rio de janeiro']",1020000,False,275983497,8464
bmN3rhp1lOE,Como é que é? | Quando a tela é vilã ou aliada na hora de brincar?,"Crianças pequenas que passam no máximo uma hora por dia em frente às telas e são fisicamente ativas têm melhor desempenho em funções como memória, atenção e controle das emoções, mostra artigo publicado no ""The Journal of Pediatrics"", que acompanhou 356 meninos e meninas de 2 anos de idade.

Estudos anteriores já apontavam o impacto negativo do uso excessivo de eletrônicos e da falta de atividades físicas e ao ar livre para a faixa etária.

Para discutir quando a tela é vilã ou aliada na hora de brincar, Priscila Camazano recebe a psicóloga familiar e psicanalista Roberta Krauss.

Leia mais na Folha:
https://folha.com/o7i36ewz

Veja outros programas:
https://www1.folha.uol.com.br/folha-topicos/como-e-que-e/

Assine a TV Folha
https://goo.gl/EBg4ag

Instagram
https://www.instagram.com/folhadespaulo/",Folha de S.Paulo,UCmYuiV9wAR3i8p19Ygc7izg,2025-05-28T21:41:54Z,447,21,0,2280,"['folha', 'folha de s.paulo', 'tv folha', 'notícias', 'folha de sao paulo', 'brasil', 'como é que é', 'Priscila Camazano', 'dia do brincar', 'criança', 'infância', 'folhinha', 'brincadeiras', 'amarelinha', 'rua', 'taco', 'futebol', 'celular', 'videogame', 'playstation', 'pc', 'xbox', 'atari', 'televisão', 'nintendo', 'switch', 'iphone', 'samsung', 'galaxy', 'criançada', 'férias', 'lúdico', 'diversão', 'offline', 'online', 'filhos', 'ranhentos']",1020000,False,275983497,8464
qU_cvJmm758,Trailer CasaFolha com Ruy Castro,"Está no ar a CasaFolha, o novo streaming de conhecimento da Folha.

Personalidades consagradas compartilharão suas trajetórias de sucesso em masterclasses elaboradas com todo o cuidado para explorar questões essenciais do desenvolvimento pessoal e do profissional.

Assine a TV Folha
https://goo.gl/EBg4ag

Leia mais na Folha
http://www.folha.com.br

Instagram
https://www.instagram.com/folhadespaulo/",Folha de S.Paulo,UCmYuiV9wAR3i8p19Ygc7izg,2025-05-28T17:42:33Z,185,17,1,100,"['folha', 'jornalismo', 'folha de s.paulo', 'tv folha', 'notícias', 'folha de sao paulo', 'brasil', 'são paulo', 'rio de janeiro']",1020000,False,275983497,8464
