video_id,titulo,descricao,canal,channel_id,data_publicacao,views_video,likes_video,comentarios_video,duracao_segundos,tags,inscritos_canal,inscritos_ocultos,visualizacoes_canal,total_videos_canal
J9XfZqrb8EE,Chineses promovem o primeiro campeonato de kickboxing entre robôs  #istoé,,IstoÉ Publicações,UC6Z3-B_ybUirOnOoAP9Rz4w,2025-05-30T17:46:16Z,58,4,1,87,[],267000,False,99040595,4128
KaM6UU5YcZ4,Cresce o número de jovens japoneses que aderem à demissão silenciosa; entenda #istoé #dw,,IstoÉ Publicações,UC6Z3-B_ybUirOnOoAP9Rz4w,2025-05-30T14:57:29Z,598,23,0,67,[],267000,False,99040595,4128
ckJIShffA1g,Estudo mostra os benefícios da arte para a saúde mental #istoé #dw,,IstoÉ Publicações,UC6Z3-B_ybUirOnOoAP9Rz4w,2025-05-28T16:47:11Z,284,4,0,45,[],267000,False,99040595,4128
2PAlIyuHTvI,Globo enfrenta reação dos fãs de Virginia e SBT cogita nova mudança! Entrevista com Otávio Martins,,IstoÉ Publicações,UC6Z3-B_ybUirOnOoAP9Rz4w,2025-05-26T20:09:54Z,2051,18,2,3136,[],267000,False,99040595,4128
9jwa8ntZXyU,Saiba como identificar se um vídeo foi feito com o uso de inteligência artificial #istoé #dw,,IstoÉ Publicações,UC6Z3-B_ybUirOnOoAP9Rz4w,2025-05-26T16:28:04Z,934,12,0,65,[],267000,False,99040595,4128
fLg84GfeH0c,Fructus fala sobre revolução digital com impacto social no Brasil,"Criada primeiramente para gerar impacto social, mas em uma lógica de negócios, a Fructus é uma empresa jovem que já começa a deixar marcas relevantes no universo do empreendedorismo digital. Fundada em agosto de 2024, a empresa oferece a mulheres de diferentes perfis — muitas delas sem experiência prévia — a estrutura necessária para atuar no mercado de vendas online.",IstoÉ Publicações,UC6Z3-B_ybUirOnOoAP9Rz4w,2025-05-26T14:54:55Z,202,0,0,43,[],267000,False,99040595,4128
a-06FPVPggc,Ciro Nogueira diz que Janja ‘passou dos limites’ e que Lula é ‘presidente mandado’,"O senador Ciro Nogueira (Progressistas-PI) criticou a primeira-dama Janja da Silva pelo episódio envolvendo o presidente chinês Xi Jinping, afirmando que ela “ultrapassou todos os limites”. Para o parlamentar, a defesa do presidente Luiz Inácio Lula da Silva (PT) por parte de Janja no incidente demonstra que o presidente é submisso às influências dela, o que, segundo ele, compromete a credibilidade do governo devido às interferências da primeira-dama na gestão.

Em entrevista à ISTOÉ, o senador também criticou o governo, a gestão do presidente Lula e defendeu Jair Bolsonaro.",IstoÉ Publicações,UC6Z3-B_ybUirOnOoAP9Rz4w,2025-05-26T14:45:11Z,3744,120,1,71,[],267000,False,99040595,4128
fj_3jsRjMI4,Ciro Nogueira defende saída de federação do governo Lula: ‘Não faz sentido’,"Nesta entrevista exclusiva, o senador Ciro Nogueira (Progressistas-PI) analisa os bastidores da política nacional com críticas contundentes ao governo Lula. Ele discute a CPMI do INSS, afirmando que o escândalo de desvios de aposentadorias é ""o crime mais hediondo"" que já viu, e defende que todos os envolvidos—inclusive de gestões passadas—sejam punidos. Além disso, Nogueira revela os desafios da recém-formada federação entre Progressistas e União Brasil, adiantando que defende o rompimento com o governo e o apoio à uma candidatura de centro-direita em 2026.

O senador também comenta o cenário eleitoral, destacando a força de Bolsonaro como principal nome da direita—mesmo inelegível—e avalia possíveis alternativas, como Tarcísio de Freitas, Michele Bolsonaro e Ronaldo Caiado. Com revelações sobre as articulações no Congresso, a pressão sobre o Planalto e a influência de figuras como Janja da Silva, a entrevista traz um panorama completo sobre os rumos da política brasileira nos próximos anos. Uma conversa indispensável para entender os jogos de poder em Brasília.",IstoÉ Publicações,UC6Z3-B_ybUirOnOoAP9Rz4w,2025-05-25T13:01:09Z,22452,815,139,1923,[],267000,False,99040595,4128
7pDQQDShQgg,Biólogo cria projetos que conectam pessoas à natureza e rebatem preconceitos sobre bichos Pet Talks,"Apaixonado por biologia desde criança, André Costa abraçou a carreira e chegou a trabalhar com zoológicos, mas encontrou um caminho para oferecer seu conhecimento a um número maior de pessoas: criou a Buriki Educacional, empresa que desenvolve projetos pedagógicos para escolas e companhias e visa aproximar mais gente da natureza. Fundada há mais de 15 anos, ela fornece roteiros verdes, estudos de meio, atividades ambientais, oficinas e consultorias. Além de ter uma equipe de biólogos, a Buriki conta com um “time” formado por quase 60 animais, como cobras, araras e até um porco-espinho africano. Todos certificados. “Nosso intuito é tirar das pessoas preconceitos que acabamos tendo”, diz Costa no bate-papo com Luís Estrelas, com quem já trabalhou nos bastidores de filmes que envolviam bichos.",IstoÉ Publicações,UC6Z3-B_ybUirOnOoAP9Rz4w,2025-05-23T19:26:40Z,268,9,0,1365,[],267000,False,99040595,4128
_3H_GJsiLwA,Saiba qual é a sensação de estar em um traje espacial  #istoé #dw,,IstoÉ Publicações,UC6Z3-B_ybUirOnOoAP9Rz4w,2025-05-22T18:37:15Z,375,2,0,57,[],267000,False,99040595,4128
