video_id,titulo,descricao,canal,channel_id,data_publicacao,views_video,likes_video,comentarios_video,duracao_segundos,tags,inscritos_canal,inscritos_ocultos,visualizacoes_canal,total_videos_canal
HFbvgu594rk,Diálogos e caminhos para uma transição energética justa,"Mais do que simplesmente investir na transição energética, é fundamental conduzi-la de forma justa, promovendo o desenvolvimento econômico e a redução das desigualdades. Com uma matriz energética com quase 50% de conteúdo renovável e uma empresa estratégica como a Petrobras, o Brasil reúne as condições necessárias para assumir uma posição de liderança global nesse movimento. Acompanhe esse encontro com especialistas que irão discutir os principais desafios e as oportunidades que moldam a energia de hoje e do futuro.",Valor Econômico,UC48mLXk1ASg1EQbaS3MheWQ,2025-05-30T01:39:59Z,470,40,1,4415,"['Valor Econômico', 'Valor economico', 'Live do Valor', 'live', 'live do dia', 'matriz energética', 'transição energática', 'energia renovável', 'mudanças climáticas']",151000,False,19768414,5074
-kRuM3HmVc0,"Lula critica governo anterior: ""O Haddad sabe como encontramos a Fazenda"" | ASPAS","Lula critica governo anterior: ""O Haddad sabe como encontramos a Fazenda; país foi administrado da forma mais irresponsável possível"". LEIA MAIS: https://valor.globo.com/politica/noticia/2025/05/29/lula-defende-haddad-das-criticas-apos-alta-do-iof-e-diz-que-consertar-economia-leva-tempo.ghtml",Valor Econômico,UC48mLXk1ASg1EQbaS3MheWQ,2025-05-29T18:25:59Z,3184,49,142,92,"['Valor Econômico', 'Valor economico', 'Governo Federal', 'Presidente Lula', 'Lula', 'Programa Terra da Gente', 'IOF', 'bolsonaro', 'Guedes']",151000,False,19768414,5074
cFlPa1EmFkE,"Lula: ""A única coisa que tenho medo é de trair a confiança que vocês depositaram em mim"" | ASPAS",LEIA MAIS; https://valor.globo.com/politica/noticia/2025/05/29/lula-defende-haddad-das-criticas-apos-alta-do-iof-e-diz-que-consertar-economia-leva-tempo.ghtml,Valor Econômico,UC48mLXk1ASg1EQbaS3MheWQ,2025-05-29T18:24:18Z,80,1,1,25,"['Valor Econômico', 'Valor economico', 'Governo Federal', 'Presidente Lula', 'Lula', 'Programa Terra da Gente', 'IOF']",151000,False,19768414,5074
QOncp0o3pMM,"Advogado-geral da União, Messias diz que sabe o que Haddad está passando no cargo | ASPAS",LEIA MAIS: https://valor.globo.com/politica/noticia/2025/05/29/advogado-geral-da-uniao-diz-que-sabe-o-que-haddad-esta-passando-no-cargo.ghtml,Valor Econômico,UC48mLXk1ASg1EQbaS3MheWQ,2025-05-29T18:22:46Z,3596,11,5,15,"['Valor Econômico', 'Valor economico', 'Governo Federal', 'AGU', 'Advocacia-Geral da União', 'Jorge Messias', 'Haddad', 'jorge messias', 'Lula', 'IOF', 'críticas', 'crise com Haddad']",151000,False,19768414,5074
ePVtQde3k_g,"Haddad participa de evento com Lula e admite que ""sofre"" com avaliações negativas | ASPAS",LEIA MAIS: https://valor.globo.com/politica/noticia/2025/05/29/em-evento-com-lula-haddad-admite-sofrer-com-criticas.ghtml,Valor Econômico,UC48mLXk1ASg1EQbaS3MheWQ,2025-05-29T18:21:22Z,1621,7,4,19,"['Valor Econômico', 'Valor economico', 'Governo Federal', 'Ministério da Fazenda', 'Fernando Haddad', 'Haddad', 'Paraná', 'assentamento', 'Lula', 'discurso do Lula', 'Lula defende Haddad', 'pressão por IOF', 'IOF', 'Haddad e IOF', 'críticas']",151000,False,19768414,5074
Vkd7d3WCke4,Como os censos de diversidade podem ajudar no desenvolvimento das empresas?,"Os censos demográficos são ferramentas relevantes que ajudam empresas a avançarem em diversidade no ambiente corporativo. Não só no mapeamento de seus funcionários como também no estímulo à criação de estratégias de maior inclusão nas corporações.

De acordo com pesquisas sobre o tema, equipes com diversidade de gênero obtêm mais chances de superar a concorrência e de apresentar melhor desempenho no mercado.

Para conversar sobre a contribuição dos censos para a construção de um ambiente mais plural nas empresas, a Live do Valor + Valor Social convidam Erika Vaz, consultora sobre mensuração de resultados e impactos da diversidade nas empresas, e Léo Drummond, consultor da área de Diversidade e Inclusão no RH da Globo para uma conversa remota que será conduzida pelo repórter Alex Jorge Braga. A transmissão pode ser acompanhada pelas redes sociais Youtube, LinkedIn e Instagram do Valor Econômico, às 12h do dia 27 de maio.",Valor Econômico,UC48mLXk1ASg1EQbaS3MheWQ,2025-05-28T04:00:03Z,242,26,0,3251,"['Live do dia', 'Live do Valor', 'Valor Econômico']",151000,False,19768414,5074
2MfTOLeC12E,"Receita, IOF,  dívida dos EUA e tarifas, um resumo do que foi mais relevante na economia e mercados","A semana foi marcada por altos e baixos nos mercados — e teve de tudo um pouco. Vamos por partes e começando pelo Brasil. Na tarde de quinta-feira, dia 22, foi anunciado o congelamento de R$ 31,3 bilhões em despesas, como forma de cumprir o limite de gastos previsto no novo arcabouço fiscal. Ainda não foram divulgados os detalhes sobre quais áreas serão afetadas, mas já se sabe que até mesmo emendas parlamentares devem sofrer cortes. O governo também anunciou um aumento nas alíquotas do IOF, o Imposto sobre Operações Financeiras. Os percentuais variam de acordo com o tipo de transação financeira. Com o contingenciamento de gastos e a elevação do IOF, o impacto fiscal previsto sobre o resultado primário do governo federal é de R$ 54 bilhões. O mercado reagiu de forma dividida: enquanto o congelamento de despesas foi bem recebido, o aumento do IOF, que foi detalhado horas depois, provocou forte estresse. O mercado não recebeu bem a informação de que as operações de compra de ativos por fundos brasileiros no exterior passariam a ter uma alíquota de 3,5%. A medida foi vista como um desincentivo ao investimento fora do país e gerou forte reação dos investidores. No dia seguinte ao anúncio, na sexta-feira, dia 23, o ministro Fernando Haddad disse que a alíquota não seria mais cobrada sobre essa operação. Então ficou assim: alíquota zerada para aplicações de fundos nacionais no exterior e taxa de 1,1% sobre remessas internacionais destinadas a investimentos. A revisão retira R$ 2 bilhões da previsão inicial de impacto fiscal, que era de R$ 54 bilhões, e agora fica em R$ 52 bilhões. Com isso, a sessão de sexta foi marcada por um certo alívio nos ativos domésticos. Agora, sobre o exterior, o destaque ficou por conta dos desdobramentos do rebaixamento da nota de crédito dos Estados Unidos pela agência de classificação de risco Moody’s. A nota foi dada na noite de sexta, dia 16, com os mercados americanos fechados. A repercussão da notícia veio segunda. As bolsas operaram a maior parte do dia em baixa, mas fecharam em alta e houve estresse relevante no mercado de Treasuries. Nos Estados Unidos também teve a aprovação do projeto de lei de cortes tributários pela Câmara americana na quinta-feira dia 22. O projeto ainda precisa passar pelo Senado e se for sancionado pode adicionar US$ 3,8 trilhões à dívida americana na próxima década, segundo o Escritório de Orçamento do Congresso. Essa percepção de maior risco fiscal se refletiu no rendimento dos Treasuries, que subiram até quarta-feira, dia 21. Na quinta, houve um certo alívio após o diretor do Federal Reserve, Christopher Waller, afirmar que o banco central dos EUA pode cortar os juros no segundo semestre deste ano. No saldo da semana, os mercados brasileiros ficaram assim: O Ibovespa registrou dois recordes. Um na segunda e outra na terça, motivados por um otimismo renovado do investidor estrangeiro. Na quinta-feira, o desempenho caiu com o anúncio das medidas fiscais. E, na sexta, a bolsa registrou um certo alívio com o recuo parcial no IOF. O dólar frente ao real teve volatilidade na semana, com destaque para a sexta, que chegou a encostar na máxima de R$ 5,74 com o mau humor em relação ao IOF, mas se afastou da máxima. Já os juros futuros, que vinham subindo desde segunda-feira, recuaram na sexta-feira com o alívio nos mercados. Na próxima semana, o mercado deve seguir atento às questões fiscais no Brasil e nos EUA. No calendário econômico, o Brasil divulga dados de prévia da inflação de maio e de desemprego, além do PIB do primeiro trimestre do ano. E, nos Estados Unidos, o PIB do primeiro trimestre também será destaque, assim como os números de consumo e de inflação.",Valor Econômico,UC48mLXk1ASg1EQbaS3MheWQ,2025-05-23T22:41:02Z,206,22,0,254,"['Valor Econômico', 'Valor economico', 'IOF', 'taxa', 'imposto', 'cobrança', 'transação financeira', 'bolsa B3', 'Haddad', 'ministro da fazenda', 'mercados', 'Ibov', 'b3', 'receita', 'IRRF']",151000,False,19768414,5074
GqIjNHqT9FA,No fio da navalha: Haddad aumenta IOF e cria desgaste para governo | POLÍTICA NA SEMANA,"A semana na política foi marcada pela confusão na área econômica que provoca instabilidade nos mercados e mostra fragilidade do ministro da Fazenda, Fernando Haddad. @MinFazenda @LulaOficial @mincomunicacoes 
O ministro começou o dia bem, anunciando o congelamento de R$ 31 bilhões no Orçamento,  entre bloqueios e contingenciamento. Esse arrocho mostrou compromisso com o arcabouço fiscal e força de Haddad diante da área política do governo. Mas uma segunda mudança fiscal de Haddad,  o aumento do Imposto sobre Operações Financeiras sobre investimentos e compras no exterior, caiu muito mal entre os operadores e a tendência de mercados futuros no fim do dia já sinalizava a reversão do otimismo inicial. A noite de quinta-feira sinalizava para o quanto Haddad está fraco. Uma reunião de integrantes do governo foi realizada com a presença do ministro da Comunicação Social Sidônio Palmeira, e sem a presença de Haddad, que já estava em trânsito para São Paulo.  Na reunião,  o governo decidiu voltar atrás em relação ao aumento do imposto, em um aspecto pontual: o aumento da carga para investimentos no exterior.  Nesta sexta pela manhã,  em São Paulo, Haddad disse que o recuo se deu em função da repercussão ruim entr investidores e frisou que é um aspecto pontual em um pacote de 50 bilhões de reais. Ele afirmou que a sugestão de recuo partiu do próprio ministério da Fazenda,  depois de conversas virtuais dele com os técnicos da equipe econômica. Haddad estimou o impacto do recuo em menos de 2 bilhões. A ida e vinda, contudo,  mostra um ministro andando n fio da navalha, com dificuldade tanto para cortar gastos quanto para subir receitas, dentro de um governo pressionado por todos os lados.",Valor Econômico,UC48mLXk1ASg1EQbaS3MheWQ,2025-05-23T22:06:00Z,248,18,1,142,"['Valor Econômico', 'Valor economico', 'César Felício', 'Resumo da Semana', 'Governo Federal', 'Ministério da Fazenda', 'Fernando Haddad', 'Haddad', 'IOF', 'orçamento', 'contingenciamento', 'bloqueio', 'tarifa', 'imposto', 'taxa', 'transação financeira', 'Lula']",151000,False,19768414,5074
z4iIywiq5c4,"Recuo em IOF foi para não ""passar mensagem equivocada"", diz Haddad","Após a revisão da decisão da aplicação de IOF sobre fundos e investimentos no exterior Haddad fez coletiva nesta manhã de sexta-feira, dia 23 , para d dizer que a intenção do governo não era impedir investimento de brasileiros lá fora. Impacto fiscal do recuo foi estimado em cerca de R$ 2 bi, ante os R$ 20 bi de aumento de arrecação que tinha sido anunciado. LEIA MAIS: https://valor.globo.com/brasil/noticia/2025/05/23/haddad-explica-que-recuo-na-alta-do-iof-sobre-alguns-itens-foi-decidido-apos-ponderacoes-do-mercado.ghtml",Valor Econômico,UC48mLXk1ASg1EQbaS3MheWQ,2025-05-23T13:37:59Z,261,13,5,1129,"['Valor Econômico', 'Valor economico', 'Governo Federal', 'Ministério da Fazenda', 'Fernando Haddad', 'Haddad', 'IOF', 'IMPOSTO', 'anúncio', 'pacote', 'retenção', 'contingenciamento']",151000,False,19768414,5074
w3LR44ifD6E,"Cardápios de comida, bombons e até sorvetes com sabor da COP30","A COP30, Conferência das Nações Unidas sobre Mudanças Climáticas, só acontecerá em novembro, em Belém, mas obras ao redor da cidade com placas relacionadas ao evento não deixam moradores e visitantes esquecerem que a capital paraense receberá a chefes de Estado, ambientalistas e líderes empresariais de todo o mundo para discutir temas relacionados à preservação do meio ambiente. Segundo o secretário de Infraestrutura e Logística do Pará, Adler Silveira, recursos de aproximadamente R$ 4 bilhões do governo federal e do governo estadual estão sendo destinados a obras de melhorias na cidade, incluindo o novo Parque da Cidade. O espaço de 550 mil metros quadrados era um aeródromo para aviões de pequeno porte e se tornará em breve um imenso parque que ficará como legado da COP30 para a população. É neste local, do tamanho de 50 campos de futebol, que acontecerá efetivamente a cúpula da ONU sobre mudanças climáticas. No evento, a estimativa é que 50 mil pessoas circulem por este espaço entre 10 e 21 novembro. Porém, o cálculo é que o pico desse movimento num único dia será de 28 a 30 mil pessoas. Com uma edificação de dois andares e 15 mil metros quadrados que servirá como centro gastronômico, vulgo praça de alimentação, esse espaço em si parece suficiente para comportar o tamanho da COP30. Há muitas preocupações que pairam sobre a capacidade de hospedagem na cidade e sobre como o aeroporto receberá a demanda de chegadas em aviões. O secretário Adler Silveira garante que essa é uma questão que está sendo resolvida e que dois navios contratados pelo governo federal servirão como hotéis e ajudarão a atender a demanda. Enquanto as autoridades buscam acelerar as soluções e 5 mil trabalhadores diretos e indiretos trabalham sob sol e chuva para acelerar as obras, moradores e comerciantes de Belém já estão se movimentando para impulsionar a atmosfera do evento. Cardápios de comida, bombons e até sorvetes com sabor da COP30 já estão sendo testados. A cidade famosa pelo Círio de Nazaré, que acontecerá em outubro, já está na expectativa de estender a maratona de oferta de produtos e serviços até novembro para a COP30.",Valor Econômico,UC48mLXk1ASg1EQbaS3MheWQ,2025-05-22T21:01:05Z,749,10,0,137,"['Valor Econômico', 'Valor economico', 'COP30', 'Belém', 'Pará', 'Belém do Pará', 'mudanças climáticas', 'meio ambiente', 'Parque da Cidade', 'ONU', 'Rafael Vazquez']",151000,False,19768414,5074
