video_id,titulo,descricao,canal,channel_id,data_publicacao,views_video,likes_video,comentarios_video,duracao_segundos,tags,inscritos_canal,inscritos_ocultos,visualizacoes_canal,total_videos_canal
cCmvoCOvyfU,Inteligência e cooperação no combate ao crime organizado,"Acompanhe o II Seminário Internacional sobre Segurança Pública, Direitos Humanos e Democracia. Com o tema “Um modelo brasileiro de combate às máfias e à insegurança nas cidades e no campo”, o evento reúne autoridades, especialistas e acadêmicos do Brasil e do exterior durante quatro dias de debates no Teatro Renaissance, em São Paulo.

O seminário é realizado pelo Instituto para a Reforma das Relações entre Estado e Empresa (IREE) e o Instituto Brasileiro de Ensino, Desenvolvimento e Pesquisa (IDP).

➡️ Deixe seu like e inscreva-se no nosso canal!

Siga as nossas redes sociais:
🔵 Facebook: metropolesdf
🔴 Instagram: metropoles
⚫ X: metropoles
⚪ TikTok: metropolesoficial",Metrópoles,UC9mdw2mmn49ZuqGOpSri7Fw,2025-05-22T22:02:47Z,164,28,0,0,"['notícias', 'jornal', 'portal', 'metrópoles', 'Brasil', 'DF', 'notícias do DF', 'notícias do Brasil', 'ao vivo', 'live', 'notícias ao vivo', 'Jornal do Metrópoles', 'repórter', 'reportagem', 'jornalismo', 'news']",3310000,False,1189193552,43073
4IoZjlGc7pw,Lula defende o MST em evento no Paraná,"➡️ Deixe seu like e inscreva-se no nosso canal!

Siga as nossas redes sociais:
🔵 Facebook: metropolesdf
🔴 Instagram: metropoles
⚫ X: metropoles
⚪ TikTok: metropolesoficial",Metrópoles,UC9mdw2mmn49ZuqGOpSri7Fw,2025-05-29T17:20:28Z,61,3,3,53,"['notícias', 'jornal', 'portal', 'metrópoles', 'Brasil', 'DF', 'notícias do DF', 'notícias do Brasil', 'ao vivo', 'live', 'notícias ao vivo', 'Jornal do Metrópoles', 'repórter', 'reportagem', 'jornalismo', 'news']",3310000,False,1189193552,43073
TkG8PamOgsk,Lula relembra troca de cartas com Janja na prisão,"➡️ Deixe seu like e inscreva-se no nosso canal!

Siga as nossas redes sociais:
🔵 Facebook: metropolesdf
🔴 Instagram: metropoles
⚫ X: metropoles
⚪ TikTok: metropolesoficial",Metrópoles,UC9mdw2mmn49ZuqGOpSri7Fw,2025-05-29T17:14:40Z,83,4,13,98,"['notícias', 'jornal', 'portal', 'metrópoles', 'Brasil', 'DF', 'notícias do DF', 'notícias do Brasil', 'ao vivo', 'live', 'notícias ao vivo', 'Jornal do Metrópoles', 'repórter', 'reportagem', 'jornalismo', 'news']",3310000,False,1189193552,43073
U0NmofEo6zo,China pede aos EUA que cancelem “tarifas unilaterais injustificadas”,"A China fez um apelo aos Estados Unidos nesta quinta-feira (29/5) para que o país “cancele totalmente as tarifas alfandegárias unilaterais injustificadas”. Nessa quarta-feira (29/5), um tribunal americano decidiu bloquear as medidas determinadas pelo presidente Donald Trump.

➡️ Deixe seu like e inscreva-se no nosso canal!

Siga as nossas redes sociais:
🔵 Facebook: metropolesdf
🔴 Instagram: metropoles
⚫ X: metropoles
⚪ TikTok: metropolesoficial",Metrópoles,UC9mdw2mmn49ZuqGOpSri7Fw,2025-05-29T17:09:09Z,101,12,3,140,"['notícias', 'jornal', 'portal', 'metrópoles', 'Brasil', 'DF', 'notícias do DF', 'notícias do Brasil', 'ao vivo', 'live', 'notícias ao vivo', 'Jornal do Metrópoles', 'repórter', 'reportagem', 'jornalismo', 'news']",3310000,False,1189193552,43073
El7_mfi86BM,"Em meio a embate com EUA, STF retoma julgamento sobre big techs","O presidente do Supremo Tribunal Federal (STF), ministro Luís Roberto Barroso, marcou para a próxima quarta-feira (4/6), a retomada do julgamento sobre a responsabilização das redes sociais pelos conteúdos ilegais postados pelos usuários.

O julgamento foi interrompido em dezembro de 2024 por um pedido de vista do ministro André Mendonça, que devolveu o processo para julgamento nesta semana e Barroso pautou. O pedido de vista de Mendonça ocorreu em meio ao voto de Barroso, quando o plenário debatia amplamente sobre a responsabilização das plataformas e até onde vai a interpretação de temas subjetivos para determinar retiradas de posts.

➡️ Deixe seu like e inscreva-se no nosso canal!

Siga as nossas redes sociais:
🔵 Facebook: metropolesdf
🔴 Instagram: metropoles
⚫ X: metropoles
⚪ TikTok: metropolesoficial",Metrópoles,UC9mdw2mmn49ZuqGOpSri7Fw,2025-05-29T17:06:21Z,471,31,5,152,"['notícias', 'jornal', 'portal', 'metrópoles', 'Brasil', 'DF', 'notícias do DF', 'notícias do Brasil', 'ao vivo', 'live', 'notícias ao vivo', 'Jornal do Metrópoles', 'repórter', 'reportagem', 'jornalismo', 'news']",3310000,False,1189193552,43073
2GoAGzqdsCQ,Embaixador chora na ONU ao falar sobre crianças mortas em Gaza,"Durante discurso no Conselho de Segurança das Nações Unidas, nesta quarta-feira (28/5), o embaixador da Palestina, Riyad Mansourem, foi às lágrimas ao falar sobre a morte de crianças na Faixa de Gaza por conta da fome. “São crianças. Crianças… Crianças!”, repetiu ele. “Dezenas de crianças estão morrendo de fome. Há imagens de mães abraçando os corpos dos filhos, acariciando os cabelos deles e pedindo desculpas”, completou.

➡️ Deixe seu like e inscreva-se no nosso canal!

Siga as nossas redes sociais:
🔵 Facebook: metropolesdf
🔴 Instagram: metropoles
⚫ X: metropoles
⚪ TikTok: metropolesoficial",Metrópoles,UC9mdw2mmn49ZuqGOpSri7Fw,2025-05-29T17:02:06Z,56,5,5,141,"['notícias', 'jornal', 'portal', 'metrópoles', 'Brasil', 'DF', 'notícias do DF', 'notícias do Brasil', 'ao vivo', 'live', 'notícias ao vivo', 'Jornal do Metrópoles', 'repórter', 'reportagem', 'jornalismo', 'news']",3310000,False,1189193552,43073
KBSRwt4FRnY,Israel diz que irá criar 22 novos assentamentos na Cisjordânia ocupada,"O ministro das Finanças de Israel, Bezalel Smotrich, afirmou nesta quinta-feira (29/5) que o país irá criar vinte e duas novas colônias judaicas na Cisjordânia ocupada. A região enfrenta longos conflitos, com Israel tentando ocupar territórios.

“Uma decisão única em uma geração. Lideramos uma decisão histórica para o assentamento: vinte e duas novas comunidades na Judeia e Samaria, a renovação do assentamento no norte de Samaria e o fortalecimento da espinha dorsal oriental do Estado de Israel”, divulgou Smotrich na rede social X.

➡️ Deixe seu like e inscreva-se no nosso canal!

Siga as nossas redes sociais:
🔵 Facebook: metropolesdf
🔴 Instagram: metropoles
⚫ X: metropoles
⚪ TikTok: metropolesoficial",Metrópoles,UC9mdw2mmn49ZuqGOpSri7Fw,2025-05-29T16:58:27Z,52,4,5,106,"['notícias', 'jornal', 'portal', 'metrópoles', 'Brasil', 'DF', 'notícias do DF', 'notícias do Brasil', 'ao vivo', 'live', 'notícias ao vivo', 'Jornal do Metrópoles', 'repórter', 'reportagem', 'jornalismo', 'news']",3310000,False,1189193552,43073
QQ6eRQxAxTw,Barco de família desaparecida há 1 ano é achado a 55 m de profundidade,"Uma família de quatro pessoas desapareceu em agosto de 2024 após um naufrágio na Baía de Kachemak, perto de Homer, no Alasca. A embarcação dos moradores do Texas — David, Mary, Colton e Brantley Maynard — foi encontrada nessa quarta-feira (28/5), a 55 metros de profundidade. Também foram encontrados restos mortais na embarcação.

➡️ Deixe seu like e inscreva-se no nosso canal!

Siga as nossas redes sociais:
🔵 Facebook: metropolesdf
🔴 Instagram: metropoles
⚫ X: metropoles
⚪ TikTok: metropolesoficial",Metrópoles,UC9mdw2mmn49ZuqGOpSri7Fw,2025-05-29T16:58:07Z,84,6,0,139,"['notícias', 'jornal', 'portal', 'metrópoles', 'Brasil', 'DF', 'notícias do DF', 'notícias do Brasil', 'ao vivo', 'live', 'notícias ao vivo', 'Jornal do Metrópoles', 'repórter', 'reportagem', 'jornalismo', 'news']",3310000,False,1189193552,43073
yrIpeh6h8Nw,"Dinheiro da saúde pagou faculdade de filho de juiz, diz operador","Um operador investigado na operação Pote de Ouro, que apura desvio de dinheiro público na cidade de Itabaiana (PB), afirmou que parte dos valores desviados da saúde da cidade serviu para custear a faculdade de medicina do filho do juiz Glauco Coutinho Marques.

➡️ Deixe seu like e inscreva-se no nosso canal!

Siga as nossas redes sociais:
🔵 Facebook: metropolesdf
🔴 Instagram: metropoles
⚫ X: metropoles
⚪ TikTok: metropolesoficial",Metrópoles,UC9mdw2mmn49ZuqGOpSri7Fw,2025-05-29T16:54:35Z,142,18,11,154,"['notícias', 'jornal', 'portal', 'metrópoles', 'Brasil', 'DF', 'notícias do DF', 'notícias do Brasil', 'ao vivo', 'live', 'notícias ao vivo', 'Jornal do Metrópoles', 'repórter', 'reportagem', 'jornalismo', 'news']",3310000,False,1189193552,43073
aYfVJzNpG-0,A OPERAÇÃO da PF contra grupo que vendia a possibilidade de monitorar e matar integrantes do STF,"Ricardo e Guga Noblat comentam sobre a volta (ou tentativa) do Comando de Caça aos Comunistas - C4, em operação da PF. O Comando existiu durante o período da Ditadura Militar.

➡️ Deixe seu like e inscreva-se no nosso canal!

Siga as nossas redes sociais:
🔵 Facebook: metropolesdf
🔴 Instagram: metropoles
⚫ X: metropoles
⚪ TikTok: metropolesoficial

#metrópoles #pf #stf #política",Metrópoles,UC9mdw2mmn49ZuqGOpSri7Fw,2025-05-29T16:54:23Z,41,1,1,573,"['notícias', 'jornal', 'portal', 'metrópoles', 'Brasil', 'DF', 'notícias do DF', 'notícias do Brasil', 'ao vivo', 'live', 'notícias ao vivo', 'Jornal do Metrópoles', 'repórter', 'reportagem', 'jornalismo', 'news', 'Caça Comunistas', 'c4', 'stf', 'crime', 'operação pf', 'PF', 'brasil', 'esquerda', 'direita', 'política', 'congresso', 'pacheco', 'Lula', 'bolsonaro', 'noticias']",3310000,False,1189193552,43073
